status_id	object	status	exact_scope
S01	founded_phi	DERIVED	additive logarithmic reciprocal group coordinate only
S02	complete_metric_as_physical_arena	DERIVED	metric content including angular and mixing slots; global realization open
S03	observer_pair_path_groupoid	DERIVED	as typed relational query structure given supplied pair/path inputs
S04	metric_path_geometry	DERIVED	given complete metric and path
S05	X_lambda_pair_family	CONDITIONAL	given metric ordered pair and lambda
S06	democratic_1plus3_relation	DERIVED	fiberwise exact lambda_one stratum for supplied observer
S07	relational_configuration_stack	DERIVED	type scaffold only not selected physical configuration
S08	lambda	OPEN	unselected representation parameter not local field
S09	physical_signed_depth	OPEN	metric-native typed-arrow assignment absent
S10	global_branch_and_boundary	OPEN	completion sector and boundary variation unselected
S11	admissible_variation_domain	OPEN	full metric candidate retained but final restrictions and boundary rules absent
S12	response_action_carrier_source_density_dynamics	OPEN	downstream or conditional and not derived here
