anchor_id	path	sha256	authority	role	ruling
A01	CURRENT_SCIENTIFIC_PREMISES.tsv	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	CURRENT_CONTROL	premise status	bootstrap is WORKING on-shell admissibility; complete action/source/boundary/mass open
A02	CURRENT_SCIENTIFIC_PREMISES.md	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	CURRENT_CONTROL	term separation	metric ontology and current correction layers do not promote dynamics or global completion
A03	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	POST_FIREWALL_VERIFIED_EVIDENCE	relational architecture	coherent architecture; joined native closure and downstream action not derived
A04	udt_global_local_relational_closure_audit_2026-07-25/DEPENDENCY_ARCHITECTURE.tsv	12b0fb925f5e324c262759489b5adcca4a3d7dc0e938c937870cb1687e9792ef	POST_FIREWALL_VERIFIED_EVIDENCE	dependency type	native response and same-solution fixed point are open
A05	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	38b697ee11a2873b8ff8bd9ba4f9940d98a70c2053a6e4440d4b925c491fa92e	POST_FIREWALL_VERIFIED_EVIDENCE	two-arrow architecture	two-way owner hypothesis is coherent; neither arrow, derivative, or objective is selected
A06	udt_bootstrap_to_local_response_map_audit_2026-07-25/GLOBAL_LOCAL_CLOSURE_LEDGER.tsv	a4426f41fb5370a3c8bcc922c7bb17ce4ad728ccd4b694e2768df42975fabc47	POST_FIREWALL_VERIFIED_EVIDENCE	arrow ledger	both arrows and their fixed point remain working or open
A07	udt_native_global_observable_closure_census_2026-07-26/AUDIT_REPORT.md	8df87a2d5d99f9f95fe60e8987348f61575f593b53a19a0a4a99093a76e68114	POST_FIREWALL_VERIFIED_EVIDENCE	observable census	metric supplies exact primitives and partial variations, not a complete state vector or closure section
A08	udt_native_global_observable_closure_census_2026-07-26/ASSEMBLY_BLOCKER_LEDGER.tsv	c69d3a3cc962e090943ecc1f116b0f68bea876d248498e1261fe977153492e34	POST_FIREWALL_VERIFIED_EVIDENCE	assembly blockers	complete R, complete A, boundary domain, and native component selection are independently open
A09	udt_stability_foundations_audit_2026-08-01/BOOTSTRAP_FIXED_POINT_SCHEMA.tsv	ea4b30a62e4d8a1997ebe03297198eb107f8e4ab76d119d0e71a78cbdbeb7f1a	POST_FIREWALL_VERIFIED_EVIDENCE	fixed-point schema	B=R(u) is type-only; A, R, fixed-point existence, uniqueness, derivative, and stability remain open
A10	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	9fa6113a0546c4ac8a36cb19d5352a9dfe8f67bb3b90df7574b88e08727a20e4	POST_FIREWALL_VERIFIED_EVIDENCE	joint realization	formal compatibility does not establish one realized on-shell configuration
A11	udt_jr_cert_native_derivation_2026-08-01/AUDIT_REPORT.md	4b50f9e0efaff8a9341c32cec6dbd7f4084487f14d38b3039f143c892fb071d4	IMMEDIATE_VERIFIED_PARENT	equation ownership	identities reconstruct supplied geometry; zero of eight native equation routes pass
A12	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	25e98f0d6c8022045b9b6b8aceb33bbbe7910c0f411ee094b5a1f033e2e914bd	IMMEDIATE_VERIFIED_PARENT	closure ownership	partial R exists; graph R does not select X; nonidentity A remains open
A13	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	e6022ae04eb9e12a7a87b5ddcd28c89d138c997511872b7b4b554f987baa4d87	IMMEDIATE_VERIFIED_PARENT	Reciprocity reach	future law must be natural; Reciprocity does not manufacture a return
A14	udt_mirror_canon_provenance_audit_2026-07-30/PROVENANCE_REPORT.md	3d6f74b7f79a4bf87552cf782ba461fdb91274ca9817a8c59c8a23aefcdfb659	POST_FIREWALL_CONTROLLING_PROVENANCE	finite-cell scope	finiteness and mirror closure are split; closure remains an owner-ratified working proposal
A15	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	POST_FIREWALL_CONTROLLING_ADJUDICATION	complete physics ceiling	complete action, source, boundary charge, and mass remain open
A16	LIVE.md	4b939d62f741d185a5128837fcc053ef77457479f35a1e8cceb1c6181455a0ad	CURRENT_NAVIGATION_AT_BASE	bootstrap posture	bootstrap is a lens, never a filter; no response law may be assumed
