premise_id	object	current_status	allowed_use	forbidden_promotion
GLP-P01	the_metric_is_the_theory	BINDING_RESEARCH_ONTOLOGY	trace physical claims to the complete UDT metric and stated carrier	complete dynamics or selection follows from the slogan alone
GLP-P02	founded_phi	DERIVED_OBJECT_IN_REGISTERED_METRIC	enter metric readouts with current scope	profile equation or realized configuration selected
GLP-P03	complete_configuration_domain	PARTIAL_TYPED_ARCHITECTURE	state the variables needed by a future law	claim one complete adopted domain already exists
GLP-P04	metric_forward_readout_R	DERIVED_PARTIAL_BY_COMPONENT	use exact geometric local/global readouts	promote partial readouts to one complete physical map
GLP-P05	nonidentity_return_A	OPEN_NOT_DERIVED	target type for the premise audit	assume formula zero set or fixed point
GLP-P06	observer_frame_reciprocity	FOUNDED_KINEMATIC_PRINCIPLE	constrain a supplied law by naturality/equivariance	manufacture a law fixed state or preferred observer
GLP-P07	internal_clock_ruler_reciprocity	FOUNDED_SEPARATE_PAIRING	constrain the founded two-dimensional representation	supply complete response covector or invariant level
GLP-P08	Xmax_reciprocity	CONDITIONAL_WORKING_SCHEMA	track as separate conditional global structure	use as founded return or boundary law
GLP-P09	finite_domain_program	RATIFIED_PROGRAM_CONSTRUCTION_SPLIT_STATUS	test what finiteness alone implies	attribute as owner bedrock or derive boundary functional
GLP-P10	bootstrap	WORKING_LENS_AND_TYPE_ARCHITECTURE	ask whether global and local data are mutually admissible	assume operation ranking optimization or equation
GLP-P11	metric_completeness	MATHEMATICAL_COMPLETION_REQUIREMENT	require all chosen domain data and joins to be specified	equate completeness with physical uniqueness or dynamics
GLP-P12	boundary_completion	OPEN_OR_CONDITIONAL_BY_BRANCH	retain typed boundary variables and known partial joins	adopt seal charge polarization or boundary action
GLP-P13	complete_native_action	OPEN	possible future realization only	splice C2 Bach EH or another action
GLP-P14	matter_carrier	POSIT_OR_CONDITIONAL_BY_LANE	state carrier dependence when relevant	derive S2 section transport or native matter
GLP-P15	source_mass_energy_density	OPEN_OR_OBSERVED_INPUT_BY_SCOPE	track as possible readout or later bracket	use as a feedback law or normalized density
GLP-P16	c_E_and_G_obs	OBSERVED_ANCHORS	retain dimensional calibration after object definition	use calibration to generate a selector
GLP-P17	strong_local_CSN	INACTIVE_CHALLENGED	counterfactual/source-conflict audit only	erase scale or create quotient closure
GLP-P18	provenance_and_computation	POST_JULY_CPU_EXACT_ONLY	current sources and finite implication controls	pre-July affirmative physics live solve T4 or GPU
