current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
AUDIT.md	SECONDARY_CONSUMER	CROSS_LANE_SHARED	MARKDOWN	CANON.md:63	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
CANON.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:486;HANDOFF.md:82,123,134;INDEX.md:55,66,105;NEGATIVES_REGISTRY.md:181;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:254;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:7	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
CLAUDE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:17,21;HANDOFF.md:122;INDEX.md:54,99,107;NEGATIVES_REGISTRY.md:10	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
F0_SYSTEMATIC_AUDIT_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:77	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
F4_seal_boundary_MAP.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:F4_seal_boundary_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	SELF_STATUS_BANNER:FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
HANDOFF.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:6;INDEX.md:53,98;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:31	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
HANDOFF_ARCHIVE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:6,481;HANDOFF.md:66,129;INDEX.md:119	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
LIVE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:9;HANDOFF.md:3,4,4,10,103,116,120;INDEX.md:4,6,44,51,98;MEMORY.md:3,9,64;NEGATIVES_REGISTRY.md:3;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:1	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
MATTER_SECTOR_MAP_new_foundation.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:MATTER_SECTOR_MAP_new_foundation.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
P5e_proper_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:168	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
QUANTIZATION_MAP.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:QUANTIZATION_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
README.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	SELF_STATUS_BANNER:README.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
