claim	status	scope	remaining_open
general_seam_determinant_and_Schur_form	DERIVED_EXACT	declared complete metric slice	other complete-coframe cross channels not needed for this existence atlas
axis_regular_gate_4u_minus_b2_negative	DERIVED_EXACT	positive radial coefficient and smooth axial fixed set	other chart components and rank-changing strata
time_dependence_of_h_alone_does_not_repair_rank	DERIVED_WITHIN_ARCHETYPE	u_H=b_H=0 with nonzero h_H(t)	other time-live metric channels
radial_shift_completion_exists_for_all_196	DERIVED_CONSTRUCTIVE_CONDITIONAL	G84 R_times_S3 candidate with smooth nonvanishing shift gate	physical owner and geodesic/global causal completeness
lapse_lift_completion_exists_for_all_196	DERIVED_CONSTRUCTIVE_CONDITIONAL	G84 R_times_S3 candidate with negative seam clock norm	physical owner; this class removes lapse asymptote
nonzero_mix_lapse_zero_seam_has_nonuniform_causal_type	DERIVED_WITHIN_METRIC_BLOCK	regular shift-supported completion	different complete metric block or selected continuation
order_A_mix_taper_has_smooth_local_bifurcate_extension	DERIVED_CONSTRUCTIVE_CONDITIONAL	G84 zero-mix base completion with h_tilde smooth in regular U V coordinates	arbitrary singular-static-time dependence weaker taper rates and global physical selection
shift_supported_zero_mix_seam_is_uniformly_null	DERIVED_CONSTRUCTIVE_CONDITIONAL	declared R_times_S3 completion	physical observer wall or X_max identification
all_980_profile_archetype_rows_classified	OBSERVED_EXACT_CENSUS	196 frozen profiles times five preregistered archetypes	continuum of all smooth completion functions
one_native_completion_selected	OPEN_NOT_DERIVED	no selector present	native history or global-completion law
physical_Xmax_or_R	OPEN	not calculated	physical pair separation and scale owner
physical_CMB_result	OPEN	not tested	profile endpoint source and observable owner
