claim	consensus_status	precision_boundary
incidence_depth_first_jet_are_one_correspondence	UNANIMOUS_PONDER_CONSENSUS	one object but distinct jet levels
delta_is_minus_log_positive_clock_slope	CONDITIONAL_ON_G176_G216_G217	regular supplied or metric-owned correspondence
depth_field_plus_anchor_integrates_relation	DERIVED_CONDITIONAL	supplied or metric-owned smooth field and declared observer curves
clock_origin_intercepts_are_gauge	CONSENSUS	embedded ordered event pair and branch are not erased
primary_static_equal_killing_parameter_recovers_delta_phi	DERIVED_CONDITIONAL	declared static congruence; no time-live globalization
null_incidence_is_metric_native_causal_query	DERIVED_CONDITIONAL	regular branch; observational status requires emission reception and readout
null_is_universal_udt_positional_relation	NOT_DERIVED	moving flat null Fermi and radar queries differ
future_return_equals_reciprocal_inverse	REFUTED_AS_GENERIC_TYPING	inverse rereads same events; future return uses later events
full_orchestra_reduces_to_scalar_clock_arrow	REFUTED_BY_SCOPE	higher germ angular screen mixing density shift and transport remain live
metric_history_or_query_population_selected	OPEN	conference supplies no selection law
