id	grade	role	what_is_not_owned
F1_F4_W1_W3_W6	FOUNDED_OR_WORKING	frozen reciprocal metric/readout/quiet/coupling/projective/causal background	no differential balance or field equation
G296	DERIVED_BOUNDED	curvature is first local natural nonidentity metric order	no residual formula or lowest-order dynamics premise
G301	DERIVED_CONDITIONAL_CLASSIFICATION	natural smooth scale-free symmetric rank-two curvature response is a_Ricci+b_R_g	class assumptions and physical representative unowned
G302	DERIVED_CONDITIONAL	all reciprocal pair-shape tangents span nine traceless metric directions; common scale is tenth	no stationarity or field equation
DDR	NEW_CANDIDATE_POSTULATE_NOT_ADOPTED	curvature response annihilates every reciprocal pair-shape tangent	founding ownership and physical adoption
ALL_PAIR_DIRECTIONS	PART_OF_NEW_DDR_POSTULATE	balance applies to every algebraically admissible local orthonormal clock-ruler plane	physical query population remains open
RICCI_COEFFICIENT_NONZERO	CONDITIONAL_G301_PRINCIPAL_GATE	excludes scalar-only vacuity	founding ownership
ORTHONORMAL_FRAME	MATHEMATICAL_METHOD	pointwise computation and invariant reconstruction	no preferred physical frame
PRIMARY_AND_ROUND_CHARTS	DOWNSTREAM_CONTROLS	regression reductions after covariant result	no global uniqueness or preferred chart
OBSERVATIONS_SOURCES_ACTION_MATTER_XMAX	OMITTED	none	not tested or imported
