id	corrected_source	prior_statement	disposition	replacement	remaining_gate
R01	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	The scalar clock extraction is open because multiple symmetric functions survive	WITHDRAWN_AS_UNDERPREMISED	The founding reciprocal-c postulate names the clock channel; arbitrary symmetric functions are not alternative channel characters	Local Lorentzian readout remains conditional
R02	projective_position_direction_magnitude_correction_2026-07-19/DERIVATION_RESULT.json	sech(delta) and sech(delta)^2 are admissible clock candidates	REJECTED_AS_COMPLETE_FOUNDATION_COUNTERMODELS	Both fail multiplicative positional composition for the named temporal channel	They may remain nonphysical diagnostics only
R03	projective_position_direction_magnitude_correction_2026-07-19/VERIFICATION_RESULT.json	sech(2delta) independently confirms clock underdetermination	REJECTED_AS_COMPLETE_FOUNDATION_COUNTERMODEL	sech(2delta) also fails the channel character law	None
R04	projective_position_direction_magnitude_correction_2026-07-19/STATUS_LEDGER.tsv	A native temporal-slot or scalar-observable selector is wholly open	NARROWED	The base channel is founding and its exponential character is derived; the quadratic Lorentzian metric readout and representative remain conditional	Derive or owner-lock the complete metric readout
R05	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	The chosen temporal slot conditionally gives exp(-rho)	SURVIVES_STRENGTHENED	No extra symmetric-function selector exists inside the named-channel branch	Retain declared readout scope
R06	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	Angular reversal and ordered observer reversal are different	SURVIVES	Angular reversal fixes rho and both channel weights; ordered reversal gives the inverse comparison	Complete observer mechanics remains scoped
R07	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	Physical distance is nonnegative and direction is angular	SURVIVES	No negative radius or direction-induced clock speed-up	Global metric distance remains open
R08	projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	Signed projective imbalance can be physical signed position	REMAINS_WITHDRAWN	It is an oriented comparison chart; bounded nonnegative radial readout remains a separate question	Projective-position join
R09	projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	Smooth projective chart counterfamilies leave radial readout open	SURVIVES	Those families concern bounded position labels and do not create alternative clock channels	Operational Xmax readout
R10	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	Reciprocal-c plus dual Reciprocity composition and declared readout derive the reciprocal metric family	SURVIVES	This existing short derivation is the controlling clock-channel result	Readout premise stamps retained
R11	UDT_NATIVE_ACTION_COLD_PACKET.md	Local Lorentzian quadratic readout representative and slot identifications retain non-derived stamps	SURVIVES	Channel kinematics are derived but full physical metric interpretation is not silently promoted	Complete native metric/readout theorem
R12	current scientific arc	Everything may already be solved	NOT_ESTABLISHED	Several false selector questions collapse but action source boundary distance Xmax carrier and mass joins remain open	Separate closure evidence for each
