path	status	role	bytes	sha256
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	FOUNDING_DERIVATION	owner-origin reciprocal-c identity and complete short metric chain	11418	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	FOUNDING_PREREGISTRATION	named channel formalizations and falsification gates	5113	c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac
UDT_NATIVE_ACTION_COLD_PACKET.md	CURRENT_FOUNDATION	synchronized Reciprocal-c dual Reciprocity composition CSN and readout stamps	13221	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CURRENT_FOUNDATION	pre-scale equivalence and physical representative boundary	2886	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34
projective_position_join_audit_2026-07-19/SHA256SUMS.txt	IMMUTABILITY_ANCHOR	first corrected package identity	1696	bde786c168a2bf552a9720afa66a3615e66c0d63ffcfb78af680c88813198a84
projective_position_direction_magnitude_correction_2026-07-19/SHA256SUMS.txt	IMMUTABILITY_ANCHOR	immediately corrected package identity	1700	377eaa791ab93845f50c19d6eb30dadb0b10322ac0cbe405db55ca0a37ad3dfb
projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	CORRECTED_PRIOR_EVIDENCE	false symmetric clock-selector statements and surviving direction correction	9471	7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21
projective_position_direction_magnitude_correction_2026-07-19/DERIVATION_RESULT.json	CORRECTED_PRIOR_EVIDENCE	sech candidate definitions and clock status	6194	30e859e9d80fabe9b6f1f14ce95a2299dc77f468c080f075ddd933cacc42de15
xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	complete frame character and additive-depth coframe	13667	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4
xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	ordered dynamic frame scope	12094	3c23d222c94fc2bd219d188803bfd2174d38cb88809a273d0a303351267d0d2c
xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	CURRENT_FRAME_EVIDENCE	accelerating coframe algebra scope	12603	bfcaaa7bfa0b9455c32f39ebbed38f8f166c097fd375e4c265f956e5df6799e8
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_FRONTIER	pre-correction current open ledger	15051	a8fdc6ada80bceea26908468e69026a0aa75b811ed511b009fca9e6e6c16898b
CANON.md	BINDING_SCOPE_SOURCE	static finite-cell seal only; no new canon	35011	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
