claim	status	evidence	ceiling
normalized future null-direction bundle and maximal geodesic flow from supplied metric/observer germs	DERIVED_CONDITIONAL	G245 plus Section 1	selects no direction or observer population
regular route-labelled incidence branches glue across overlaps	DERIVED_CONDITIONAL	Sections 1-2 and G223/G246	regular strata only; labels are not quotiented
direct future-null links form a category or groupoid	REFUTED_IN_BOUNDED_ARENA	exact A-B-C Minkowski counterexample	does not preclude a generated path category
direct future-null links form a route-labelled quiver	DERIVED_CONDITIONAL	Sections 1-4	metric history observers and null query supplied
finite matched chains form a free future-null path category	DERIVED_CONDITIONAL	Section 4	stratified/diffeological globally; not one Lie groupoid
proper-clock ratios multiply and reciprocal depths add on matched chains	DERIVED_CONDITIONAL	G216/G246 and exact rational replays	independent direct edge need not equal chain
full conformal-symplectic phase composes with vertex screen lifts	DERIVED_CONDITIONAL	G225/G226 and exact matrix replays	off-antipode standard evaluator or retained path/axis label
full phase survives a position caustic	DERIVED_CONDITIONAL	G226 and singular-block control	branch aggregation and image weights open
mathematical reversal equals physical future return	REFUTED_IN_BOUNDED_ARENA	G246 moving-flat witness	formal/past inverse remains mathematically definable
one global branch image winding observer population or metric history is selected	OPEN	no present condition supplies a selector	no prediction or observational claim
G176 completed-pair normalization	WORKING_FOUNDATIONAL_CLARIFICATION	retained source authority	not canonized by G247
X_max observations action source matter bootstrap mass signalling	INACTIVE	MAP and preregistration	not used
fresh sealed external adversarial review	EXTERNALLY_VERIFIED__NO_REPAIRS_REQUIRED	G247_ACCEPTED_WITH_STATED_BOUNDS and four reproduced no-write replays	bounded scientific landing unchanged
