item	status	role	open_boundary
reciprocal_character_D_delta	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	common reciprocal pair response	physical depth assignment
direct_redshift	DERIVED_CONDITIONAL_ON_SUPPLIED_QUERY	frequency ratio exp(delta)	native complete light theory
complete_pair_pullback	DERIVED_CONDITIONAL	angular screen and mixing enter before readout	physical history and pair population
W1_completed_pair_readout	WORKING_FOUNDATIONAL_CLARIFICATION	terminal pair scalar	canon and global extension
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	physical normalized complete projective pair state	dimensionful operational distance
projective_radial_chi_tanh_delta	DERIVED_CONDITIONAL_CHART	one-dimensional projective coordinate	complete nonradial composition without carry
constant_positive_homothety	free-and-explored	one dimensionful representative ell	nonconstant history freedom
native_Jacobi_operator	STANDARD_GEOMETRIC_EVALUATOR	metric screen propagation on supplied null branch	branch population and caustic completion
central_spherical_dA_equals_R	DERIVED_CONDITIONAL_ON_SUPPLIED_NULL_QUERY	areal screen readout	universal equality with W5 position
transparent_radiative_transfer	CONDITIONAL_IMPORT	dL=(1+z)^2 dA interface	native UDT radiative transfer
quadratic_plane_wave_separator	free-and-explored	regular complete-metric countermodel family	physical-history selection
endpoint_rapidity_delta	free-and-explored	tests every finite signed reciprocal depth	physical population
branch_length_L_and_tidal_a	free-and-explored	bounded pre-caustic separator parameters	observational values
SNe_Cepheid_DES_outcomes	EXCLUDED	no role	later conditional comparison only
P1_G116_G189_Xmax_LCDM_protected_work	EXCLUDED	regression barrier	no construction role
