object	status	ceiling
direct_redshift	DERIVED_CONDITIONAL_ON_SUPPLIED_QUERY	unchanged; not a complete light theory
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	endpoint projective pair state; not optical area
native_Jacobi_area	DERIVED_CONDITIONAL	requires supplied complete metric history and null branch
projective_to_optical_universal_identity	REFUTED_BOUNDED_BY_EXACT_COUNTERMODELS	same W5 state admits different optical area
primary_spherical_phi_to_areal_radius	NOT_SELECTED	same depth occurs at different areal radii for regular profiles
R_equals_ell_tanh_phi_global_center_origin	CONDITIONAL_ADDITIONAL_LAW	forces nonsmooth center slope in tested global form
transparent_radiative_transfer	CONDITIONAL_IMPORT	may translate optical area to luminosity distance
Cepheid_attachment	OBSERVED_PLUS_CONDITIONAL_BRIDGE	may calibrate empirical optical scale
one_scale_native_SNe_shape_prediction	NOT_YET_DERIVED	needs complete history or separately owned areal identification
physical_history_scale_Xmax	OPEN	not selected by G280
G280_landing	EXTERNAL_REPAIR_ACCEPTED__BOUNDED_LANDING_UNCHANGED	all scoped repairs accepted; no remaining scoped defect
