path	role	bytes	sha256
founding.md	founding intent and W5 adoption history	39830	e0aebb4131ee3e231b824a8cab4e0aabebe7a678de09b4aa4d39396f3bd5565a
CURRENT_SCIENTIFIC_PREMISES.tsv	current exact premise authority	520126	7c7bff39fc84a19f86338a8cedf7ce5f10a36a5a6c05050c1e87d2cab9f2acec
udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/EXACT_DERIVATION.md	complete native Jacobi operator	6515	f11744a63faed4a53a0361ef4336afbb56178222b792235213b53fa8cdc02613
udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/EXACT_DERIVATION.md	imported SNe luminosity-area interface	5785	fdbc3ef0939c94354e1a40c125c89bdb80af078a8ec90f0699f795f6320985eb
udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	phi versus Jacobi-area ownership	6786	45079821ebde0a38f181f4ba01ed74a431cea2899b5bb9608ff0991f8e0bc34c
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/EXACT_DERIVATION.md	complete projective pair coordinate	8783	cc77269724a0e4c814fc2d6794a5520e3840a7ca8519c3f2e8f702950056d186
udt_g274_projective_pair_position_network_descent_2026-08-26/EXACT_DERIVATION.md	full frame carry and radial closure	7201	8cee4fa46ea13c6101bbce8c94072a516d38ce0f863e3658a87bab4d77e7e18f
udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/EXACT_DERIVATION.md	projective homothety attachment and operational-distance boundary	4481	4ed8727e317347f455fc7ae16cfb2a2bf8d9cf7330348ff74e46aa274ae1cb41
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/EXACT_DERIVATION.md	conditional proper-clock scale attachment	4335	0945f4c60f14becd5c772f128d5ca385264cc6a2eda603adfbf546199e848105
udt_g277_observational_scale_anchor_ownership_2026-08-26/AUDIT_REPORT.md	Cepheid and optical-bridge typing	7543	e32413cc9f7968057a2b0a28785970da5fc3537b8dd6d1f56e108cf8d544f6ec
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/AUDIT_REPORT.md	frozen empirical attachment and resolution failure	4850	3185dfc833d1da2a17edb0b80f7b9245eeb10c70f05a96851bf3a3e31245d56b
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	native/import provenance boundary	4498	2c284cffa091b97f49c638fb729224084c29ac2b7509bcd640de2ca7b226e1ab
