path	role
founding.md	founding intent and W5 adoption history
CURRENT_SCIENTIFIC_PREMISES.tsv	current exact premise authority
udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/EXACT_DERIVATION.md	complete native Jacobi operator
udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/EXACT_DERIVATION.md	imported SNe luminosity-area interface
udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	phi versus Jacobi-area ownership
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/EXACT_DERIVATION.md	complete projective pair coordinate
udt_g274_projective_pair_position_network_descent_2026-08-26/EXACT_DERIVATION.md	full frame carry and radial closure
udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/EXACT_DERIVATION.md	projective homothety attachment and operational-distance boundary
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/EXACT_DERIVATION.md	conditional proper-clock scale attachment
udt_g277_observational_scale_anchor_ownership_2026-08-26/AUDIT_REPORT.md	Cepheid and optical-bridge typing
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/AUDIT_REPORT.md	frozen empirical attachment and resolution failure
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	native/import provenance boundary
