catch	result
CSN-branch_overclaim_rejected	PASS
CSN-status_overclaim_rejected	PASS
action-status_overclaim_rejected	PASS
action_equation_overclaim_rejected	PASS
anchor-status_overclaim_rejected	PASS
base_source_mutation_rejected	PASS
boundary-selector_equation_overclaim_rejected	PASS
bridge-status_overclaim_rejected	PASS
carrier_import_rejected	PASS
charge-branch_overclaim_rejected	PASS
charge_equation_overclaim_rejected	PASS
clamped-branch_overclaim_rejected	PASS
clamped_misgrade_rejected	PASS
completion-status_overclaim_rejected	PASS
completion_misgrade_rejected	PASS
derivation_charge_mutation_rejected	PASS
derivation_selector_mutation_rejected	PASS
flat-branch_overclaim_rejected	PASS
flat-charge_misgrade_rejected	PASS
flat-vacuum_equation_overclaim_rejected	PASS
grade_overclaim_rejected	PASS
mass-status_overclaim_rejected	PASS
mass_equation_overclaim_rejected	PASS
matter-status_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
missing_boundary_class_rejected	PASS
missing_branch_rejected	PASS
missing_census_row_rejected	PASS
missing_convention_rejected	PASS
missing_equation_rejected	PASS
missing_scope_rejected	PASS
missing_source_rejected	PASS
missing_status_rejected	PASS
null-branch_overclaim_rejected	PASS
null-wall_misgrade_rejected	PASS
polarization_equation_overclaim_rejected	PASS
scale_equation_overclaim_rejected	PASS
selector-status_overclaim_rejected	PASS
wall-status_overclaim_rejected	PASS
wall_equation_overclaim_rejected	PASS
