object	status	role
G205_base_family	DERIVED_CONDITIONAL	supplied complete static base
positive_lapse_f	PINNED_BY_DECLARED_G205_REALIZATION	held fixed in this tile
arbitrary_positive_spatial_hA	SUPPLIED_CONFIGURATION	local theorem reference metric
spatial_volume_sigma	FREE_AND_EXPLORED	one smooth real spatial determinant mode
spatial_rescaling_exp2sigma	DERIVED_FROM_CLASS	positive trace-changing spatial metric
arbitrary_supplied_shift_b	SUPPLIED_CONFIGURATION	local composition theorem only
unique_volume_shape_decomposition	PREREGISTERED_TARGET	relative determinant scalar plus determinant-one remainder
lower_bounded_static_sigma	FREE_AND_EXPLORED	global survivor class
compact_time_live_sigma	FREE_AND_EXPLORED	global survivor class
sigma_equals_minus_phi	CHOSE_CONTROL	global-hyperbolic null-incomplete falsifier
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post-pullback scalar
lapse_and_arbitrary_full_history	OMITTED_OPEN	next or later tiles
physical_sigma_history	OPEN	no selection
Xmax_action_source_transfer_observations	OMITTED_OPEN	outside bounded theorem
