id	status	statement
S01	DERIVED_CONDITIONAL	unique relative spatial determinant scalar after positive reference H is supplied
S02	DERIVED_CONDITIONAL	Lorentz signature and temporal dt survive arbitrary smooth finite sigma and supplied b
S03	DERIVED_CONDITIONAL	ambient determinant changes by exp(6 sigma)
S04	DERIVED_CONDITIONAL	causal center remains minus b and all widths scale by exp(-sigma)
S05	DERIVED_CONDITIONAL	growth-controlled G205 class is globally hyperbolic
S06	DERIVED_CONDITIONAL	all smooth static globally lower-bounded G205 sigma are null complete
S07	DERIVED_CONDITIONAL	declared lower-bounded bounded-derivative compact-live class is null complete
S08	CHOSE_CONTROL__DERIVED_RESULT	sigma=-phi is smooth globally hyperbolic and radial-null incomplete
S09	DERIVED_CONDITIONAL	spatially bearing completed pairs hear sigma before readout
S10	DERIVED_CONDITIONAL	unshifted static and Eulerian-normal clocks are lawful blind strata
S11	DERIVED_DEPENDENCY_IDENTITY	spatial scale equals common conformal scale plus compensating lapse
S12	OPEN	physical sigma lapse determinant-one history and global realization
S13	OPEN	Xmax transfer source action matter observations and signalling
S14	EVIDENCE_CEILING	finite scripts do not mechanize quantified global analytic proofs
S15	EXTERNALLY_VERIFIED_WITH_CAVEATS	all 35 scoped hashes and registered no-write replay passed with no repairs and unchanged bounded landing
