item	prior_role	whiteboard_classification	current_status	guard
X_max inside local reciprocal kernel	dimensionful position input	removed scaffold	INACTIVE_LOCAL_INPUT__OPEN_GLOBAL_CONSEQUENCE	Do not infer a finite length from projective saturation.
independent response profile after pair readout	extra scalar melody	removed scaffold	NO_EXTRA_LOCAL_SCALAR_PROFILE	On a supplied calibrated pair h fixes chi.
B Q S Y Z curves as separate histories	complete-sector liveness arena	overcounted layers	PRESENTATION_PLUS_QUERY_PLUS_ONE_METRIC	Do not freeze sectors or promote each component to a physical field.
pointwise phi as function of an independently known r	radial history ansatz	partly circular supplied domain	OPEN_RELATION_PARAMETERIZATION	Do not assume r already has the physical positional meaning being derived.
preferred path or causal flag	observer-pair selector	unneeded for local scalar quotient	OPEN_ONLY_FOR_PATH_OR_ROUTE_CHANNELS	Do not erase genuine holonomy or route memory when those outputs are requested.
fixed orchestra ratios across regimes	one-parameter score	removed scaffold	NOT_DERIVED_AND_NOT_REQUIRED	Changing channel balance is lawful; its physical valuation remains open.
external angular post-processing	phenomenological correction	forbidden scaffold	ANGULAR_SCREEN_MIXING_UPSTREAM	All complete channels enter h before scalar readout.
action source carrier bootstrap	candidate selector	optional future structures	NOT_REQUIRED_BY_LOCAL_KERNEL	Do not import them to close this bounded question.
common scale kappa as gauge	conformal simplification	false removal	PHYSICAL_METRIC_DATA_UNSELECTED	Positive rescaling changes metric invariants and normalized rates.
history as object separate from valued relation network	translation problem	overstated split	NETWORK_AND_METRIC_EQUIVALENT_WHEN_RANK_COMPLETE	Reconstruction does not assign numerical values.
conventional evolution equation	presumed missing mechanism	too narrow	ONE_POSSIBLE_NONIDENTITY_RESTRICTION	A global constraint carry symmetry or valued state could play the role.
finite observational anchors	candidate closure	conditional calibration	SUFFICIENT_ONLY_AFTER_FINITE_MODULI_REDUCTION	Compact bumps defeat finite anchors in a functional family.
