source_id	path	sha256	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	controlling premise registry
S02	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	founded phi and complete-extension correction
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	exact extension-class count
S04	udt_metric_orchestra_rehearsal_2026-07-25/EXACT_DERIVATION.md	6b7613e24047a119a516f46791fdd63d8799b2c67a1418cc10ee3ff3ef9c7265	complete bounded coframe and curvature response
S05	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_DERIVATION.md	15341969195924fa578a9c3a83f56c8270c093c03622f7ee233de51358b5b2d3	current extension selection boundary
S06	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	complete stationary twisted control
S07	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	ee019298dda60e8d98da6a4e439be397c0b77ed796ed5f3070501445956922a4	current screen/lift/connection identities
S08	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/DERIVATION_RESULT.json	657565d49b92a0d084e14b5382fde16a2f4bb77eeb6a2780974d7574535bf2f1	frozen parent machine result
S09	udt_global_functional_dof_constraint_rank_audit_2026-07-26/CORRECTION_LAYER.md	3653fb96d844a9a60eb3288cf8b877b780a9a3f3983b94bf3d84f16c5fa49509	current generic-versus-native rank guard
S10	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	current response/action closure boundary
