candidate_id	system_class	unknown_or_state	closure_question	allowed_input	forbidden_promotion
C01	COHOMOGENEITY_ONE_BACKGROUND	complete live coframe amplitudes q(s)	does metric supply enough independent ODEs for every physical direction	chart; founded pair; chosen one-coordinate dependence	definitions of curvature called field equations
C02	ONE_PLUS_ONE_TIME_LIVE_BACKGROUND	complete live coframe amplitudes q(t,x)	does metric supply principal evolution plus propagated constraints	chart; founded pair; chosen 1+1 dependence	method of lines supplying missing continuum dynamics
C03	STATIONARY_TWISTED_S3_PROFILE	registered conditional witness profiles	do registered geometric conditions determine its profiles and parameters	global coframe and regularity inequalities	configuration witness called selected solution
C04	REDUCED_CONSTANT_DEPTH_PRODUCT	registered conditional control	does reduced holonomy condition determine nontrivial reciprocal evolution	registered product geometry	trivial parallel control called full founded closure
C05	GEODESIC_PATH	position and tangent along affine parameter	is path motion closed after metric and initial tangent are supplied	smooth supplied metric; initial event/tangent	closed geodesic equation called background dynamics
C06	AMBIENT_PARALLEL_TRANSPORT	frame/vector along supplied path	is Levi-Civita transport closed after metric and path are supplied	smooth supplied metric; path; initial vector	path transport called endpoint-only observer law
C07	PROJECTED_SCREEN_TRANSPORT	screen vector along supplied path	is D=H nabla transport closed where intrinsic screen exists	smooth supplied metric; screen projector; path; initial screen vector	conditional screen connection called universal physical screen
C08	JACOBI_TRANSPORT	separation and derivative along geodesic	is transverse first-order system closed on supplied geometry	smooth supplied metric; geodesic; curvature; initial data	Jacobi transport called metric/source evolution
C09	CURVATURE_PRESCRIPTION_BACKGROUND	complete coframe amplitudes	is any target Ricci/Weyl/Riemann response selected	metric curvature definitions only	zero or GR curvature equation imported by habit
C10	BOOTSTRAP_DENSITY_BACKGROUND	coframe plus global density variables	does current on-shell bootstrap provide differentiable local evolution	working admissibility schema	optimizer or source response invented
C11	CARRIER_TIME_LIVE	metric plus carrier variables	does current metric derive carrier and time law	conditional carrier history only	POSIT/action imported into native solve
C12	FINITE_CELL_FREE_BOUNDARY	coframe plus boundary embedding	does present geometry supply boundary evolution/transversality	registered completion classes	regularity or mirror label called variational boundary law
C13	CONNECTION_OR_CURVATURE_DEFINITION	connection/curvature evaluated from coframe	are Cartan structure equations definitions or independent closure equations	complete coframe and jets	identity counted toward principal closure rank
C14	Bianchi_IDENTITY	curvature derivatives	does identity reduce freely specifiable metric evolution	metric connection and curvature	identity promoted to field equation
C15	LEGACY_ODE_OR_TIME_LIVE	unknown until post-verdict metadata census	is any prior implementation admissible under current premises	metadata only before verdict	legacy equation inherited as authority
