candidate_id	system_class	classification	state_directions	supplied_equation_rank	closure_deficit	conditionally_executable
C01	COHOMOGENEITY_ONE_BACKGROUND	OPEN_UNDERDETERMINED_CONFIGURATION	8	0	8	False
C02	ONE_PLUS_ONE_TIME_LIVE_BACKGROUND	OPEN_UNDERDETERMINED_EVOLUTION	8	0	8	False
C03	STATIONARY_TWISTED_S3_PROFILE	CONFIGURATION_FAMILY_NOT_PROFILE_EQUATION	-1	0	-1	False
C04	REDUCED_CONSTANT_DEPTH_PRODUCT	REGISTERED_FIXED_CONTROL_NO_NONTRIVIAL_EVOLUTION	0	0	0	False
C05	GEODESIC_PATH	CLOSED_KINEMATIC_ON_SUPPLIED_CONFIGURATION	8	8	0	True
C06	AMBIENT_PARALLEL_TRANSPORT	CLOSED_KINEMATIC_ON_SUPPLIED_CONFIGURATION	4	4	0	True
C07	PROJECTED_SCREEN_TRANSPORT	CLOSED_KINEMATIC_ON_SUPPLIED_CONFIGURATION_AND_SCREEN_STRATUM	2	2	0	True
C08	JACOBI_TRANSPORT	CLOSED_KINEMATIC_ON_SUPPLIED_CONFIGURATION_AND_GEODESIC	8	8	0	True
C09	CURVATURE_PRESCRIPTION_BACKGROUND	OPEN_NO_SELECTED_CURVATURE_RESPONSE	8	0	8	False
C10	BOOTSTRAP_DENSITY_BACKGROUND	OPEN_ON_SHELL_ADMISSIBILITY_NOT_EVOLUTION	-1	0	-1	False
C11	CARRIER_TIME_LIVE	OPEN_CARRIER_AND_ACTION_UNSELECTED	-1	0	-1	False
C12	FINITE_CELL_FREE_BOUNDARY	OPEN_COMPATIBILITY_NOT_BOUNDARY_EVOLUTION	-1	0	-1	False
C13	CONNECTION_OR_CURVATURE_DEFINITION	DERIVED_EVALUATOR_NOT_BACKGROUND_EQUATION	24	24	0	False
C14	Bianchi_IDENTITY	DERIVED_IDENTITY_NOT_BACKGROUND_EQUATION	0	0	0	False
C15	LEGACY_ODE_OR_TIME_LIVE	QUARANTINED_PENDING_POSTVERDICT_PROVENANCE	-1	0	-1	False
