candidate_id	candidate_kind	complete_metric_or_coframe	founded_phi_profile	all_charts_and_overlaps	completion_data	P03B_eligibility	failure
FC01_BOUNDARY_BOUNDARY	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC02_ONE_CAP_BOUNDARY	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC03_TWO_CAP_P0	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC04_TWO_CAP_P1	REGISTERED_COMPLETION_CLASS	TWO_REGISTERED_COMPLETE_CONTROLS	NO_REGISTERED_FOUNDED_DEPTH	ONLY_CONCRETE_CONTROLS_IN_FC04	TWO_CONCRETE_S3_CONTROLS	FAIL	COMPLETE_CONTROLS_LACK_FOUNDED_PHI_PROFILE
FC05_TWO_CAP_P_GT1	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC06_NONPRIMITIVE_CAP	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC07_PERIODIC_TORUS_BUNDLE	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC08_MIRROR_DOUBLE	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC09_NONORIENTABLE_GLUE	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC10_STRATIFIED_PROJECTOR	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC11_NONINTEGRABLE_DISTRIBUTION	REGISTERED_COMPLETION_CLASS	NO_REGISTERED_COMPLETE_METRIC	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
FC12_RECIPROCAL_TORIC_DIAGONAL	REGISTERED_COMPLETION_CLASS	NO_ACTUAL_COMPLETE_REPRESENTATIVE	NO_REGISTERED_FOUNDED_DEPTH	NO	TYPE_REGISTERED;FULL_FIELD_DATA_NOT_SUPPLIED	FAIL	NO_ACTUAL_COMPLETE_REPRESENTATIVE
Q01_ROUND_S3_B19	CONCRETE_COMPLETE_METRIC_CONTROL	YES_CONDITIONAL_ON_SHELL	NO	YES_S3_PRODUCT_CONTROL	YES_FC04_TWO_CAP_P1	FAIL	ULTRASTATIC_CONTROL_HAS_NO_FOUNDED_OBSERVER_PAIR_DEPTH
Q02_SQUASHED_S3_OFF_SHELL	CONCRETE_COMPLETE_METRIC_CONTROL	YES_OFF_SHELL_CONTROL	NO	YES_S3_PRODUCT_CONTROL	YES_FC04_TWO_CAP_P1	FAIL	ULTRASTATIC_CONTROL_HAS_NO_FOUNDED_OBSERVER_PAIR_DEPTH
