source_id	path	sha256	audit_rule	source_role	classification	domain_chart_cover	complete_coframe_metric	overlap_transition_maps	finite_cell_completion_data	regularity_nondegeneracy	causal_interface_rules	topology_global_descent	construction_sufficiency	provenance	ruling
S001	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	CURRENT_PREMISE_CONTROL	controlling premise and precedence registry	LOCAL_OR_FORMAL_ONLY	NOT_A_COMPLETE_CHART_COVER	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NOT_COMPLETE	NOT_COMPLETE	INSUFFICIENT_FOR_ONE_COMPLETE_P03_OBJECT	CURRENT_CONTROLLING_PREMISE_REGISTRY	Controls interpretation; it is not itself a global metric candidate.
S002	udt_full_local_jet_strata_p02_2026-07-27/AUDIT_REPORT.md	f0ae27e21b7492c09a6ae8e5124414345b172700cb47e07f866f11f48a7a91e3	P02_LOCAL_AGGREGATE	bounded P02 local-atlas report	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S003	udt_full_local_jet_strata_p02_2026-07-27/STATUS_LEDGER.tsv	97038ea4a3a7d98afc6f39605ab60bdff89893e4f387a18a98d12474fa48b38c	P02_LOCAL_AGGREGATE	bounded P02 claim ledger	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S004	udt_full_local_jet_strata_p02_2026-07-27/AXIS_CONTRACT.tsv	2180450c39808150b7c2e780e338a9175b66be2a433a40452b9666c2fe8f3fab	P02_LOCAL_AGGREGATE	P02 local-axis definitions	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S005	udt_full_local_jet_strata_p02_2026-07-27/STRATUM_CENSUS.json	1b5f7a076bf6551184698a45df73a3136fccf5fe56f4f40c09815cdd35780d59	P02_LOCAL_AGGREGATE	aggregate P02-A census	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S006	udt_full_local_jet_strata_p02_2026-07-27/P02B_CENSUS.json	31fe6f8f7eb300c88d90ea38dd52ca0986a757d359d09057eeb546150e7ebffd	P02_LOCAL_AGGREGATE	aggregate P02-B census	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S007	udt_full_local_jet_strata_p02_2026-07-27/NEXT_STEP.md	82e29f35c6d7392f0ad001dd59d184ebde4a0ba1a498e84b56984effa0068b1e	P02_LOCAL_AGGREGATE	P02 handoff and limit statement	LOCAL_OR_FORMAL_ONLY	BOUNDED_LOCAL_CARTESIAN_JET_CHART	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	LOCAL_CAUSAL_CLASSES_ONLY_NO_GLOBAL_INTERFACE	NOT_COMPLETE	LOCAL_OR_AGGREGATE_ONLY;DETAILED_PROJECTION_LEDGERS_NOT_FROZEN	FROZEN_REGISTERED_EVIDENCE	Supplies local ranks/counts but no global coframe; frozen inputs cannot enumerate the 7,897 constructive strata losslessly.
S008	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	FOUNDED_EXTENSION_CLASS	founded-phi extension evidence: AUDIT_REPORT.md	PARTIAL_GLOBAL_DEFINITION	ONE_REGISTERED_POSITIVE_TRIANGULAR_CHART	POINTWISE_EXTENSION_CLASS_NOT_SELECTED_FIELD	NOT_SUPPLIED	NOT_SUPPLIED	POINTWISE_POSITIVE_TRIANGULAR_AND_DETERMINANT_CONDITIONS	NOT_COMPLETE	NOT_COMPLETE	POINTWISE_CLASSIFICATION_ONLY;PROFILE_JOIN_AND_BOUNDARY_OPEN	FOUNDED_TWO_CHANNEL_ACTION_DERIVED;FOUR_DIMENSIONAL_EXTENSION_UNSELECTED	Defines local extension freedom but no unique global coframe, profile, overlap, or completion.
S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	FOUNDED_EXTENSION_CLASS	founded-phi extension evidence: EXTENSION_CLASS_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	ONE_REGISTERED_POSITIVE_TRIANGULAR_CHART	POINTWISE_EXTENSION_CLASS_NOT_SELECTED_FIELD	NOT_SUPPLIED	NOT_SUPPLIED	POINTWISE_POSITIVE_TRIANGULAR_AND_DETERMINANT_CONDITIONS	NOT_COMPLETE	NOT_COMPLETE	POINTWISE_CLASSIFICATION_ONLY;PROFILE_JOIN_AND_BOUNDARY_OPEN	FOUNDED_TWO_CHANNEL_ACTION_DERIVED;FOUR_DIMENSIONAL_EXTENSION_UNSELECTED	Defines local extension freedom but no unique global coframe, profile, overlap, or completion.
S010	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	25b4fd3b9a904c992b3b05a6f7480c8151c5d56c09b440d79074d22b96aff0b9	FOUNDED_EXTENSION_CLASS	founded-phi extension evidence: DERIVATION_RESULT.json	PARTIAL_GLOBAL_DEFINITION	ONE_REGISTERED_POSITIVE_TRIANGULAR_CHART	POINTWISE_EXTENSION_CLASS_NOT_SELECTED_FIELD	NOT_SUPPLIED	NOT_SUPPLIED	POINTWISE_POSITIVE_TRIANGULAR_AND_DETERMINANT_CONDITIONS	NOT_COMPLETE	NOT_COMPLETE	POINTWISE_CLASSIFICATION_ONLY;PROFILE_JOIN_AND_BOUNDARY_OPEN	FOUNDED_TWO_CHANNEL_ACTION_DERIVED;FOUR_DIMENSIONAL_EXTENSION_UNSELECTED	Defines local extension freedom but no unique global coframe, profile, overlap, or completion.
