object_occurrence_id	object_kind	source_id	source_path	source_row_number	source_row_label	source_row_sha256	classification	domain_chart_cover	complete_coframe_metric	overlap_transition_maps	finite_cell_completion_data	regularity_nondegeneracy	causal_interface_rules	topology_global_descent	construction_sufficiency	provenance	P03B_gate	ruling
S009:R0001	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	1	E01	641c18043a2f12e8fcfa6b2658a0e5ba3244ad301c15aab61ee1dfb89edca1ea	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0002	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	2	E02	46d297f3fa5afe2d79a14daaf6304c310b439aa156a754e6bf43b639c26e03e5	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0003	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	3	E03	571e6254d14f612ccb140c65359712d4dc12c69bd0ddd53b04f818744118352b	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0004	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	4	E04	a6818699472c8f278a49f5315c5b78f83f2cd0062272902b71bab1fee96b6fb7	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0005	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	5	E05	85536926f2c6dbe6eb60094f5b9e0595674b6422f280ddc80ca2f0777e836f91	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0006	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	6	E06	c18dc181b11e1b2032f5d0b9785b7b9adaeb723c54eb719181e01c6baceec442	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0007	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7	E07	91ffc26ea42c22c0062893e9429329b7c95e092b1ead56fae5a0d59b951fd5d4	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0008	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	8	E08	bd486f93c666d34d56cc769f75f1a188518ee21cab5cdf3d022ad41aa49db005	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0009	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	9	E09	255607195f6bc611cb73a907c853a88a550d9dae9a53bf9e23883c98704725f5	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0010	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	10	E10	cd7eb076ed2ee3de389ab42bb6a139b1fa7be3f678561524e11c61239ec1086f	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
