premise_id	object	provenance_tag	status	P03_use	open_or_excluded_scope
P01	founded_phi_pair	pinned-by-THEORY	DERIVED	reciprocal clock/ruler action	observer/path profile and complete physical extension open
P02	complete_extension_classes	free-and-explored	OPEN_CANDIDATE_UNIVERSE	audit all registered classes	no class selected
P03	finite_cell_completions	free-and-explored	OPEN_CANDIDATE_UNIVERSE	audit all registered completions	no edge cap seam quotient or topology selected
P04	P02_local_motif_families	pinned-by-THEORY	OBSERVED_BOUNDED	inputs to lossless family projection	not physical branches or frequencies
P05	pair_screen_split	pinned-by-HABIT	CONDITIONAL_CHART_READOUT	carry without selection	not intrinsic physical screen
P06	repeated_tidal_targets	free-and-explored	OBSERVED_LOCALLY_CONSTRUCTIBLE	readout across global candidates	no sign or repetition selected
P07	causal_classes	free-and-explored	CHOSE_STRATIFICATION	carry zero timelike null spacelike and transitions	no causal class selected
P08	transition_cap_seam_data	free-and-explored	SOURCE_AVAILABILITY_TO_AUDIT	global compatibility inputs	must not be invented
P09	strong_local_CSN	pinned-by-THEORY	INACTIVE	excluded	no conformal gauge selection
P10	c_E_and_G_obs	pinned-by-THEORY	OBSERVED_ANCHORS	retain scale provenance	no new physical scale calculation
P11	action_source_carrier_density_bootstrap_boundary_functional	pinned-by-THEORY	OPEN_EXCLUDED	none	no imported equations or matter closure
P12	global_smoothness_regularization	free-and-explored	CHARACTERIZE_NOT_FILTER	record regularity outcomes	do not discard nonsmooth or degenerate branches by merit
P13	numerical_grid_basis_tolerances	free-and-explored	NOT_YET_DEFINED	P03-B only after preregistration	no GPU in P03-A
P14	physical_time_evolution	pinned-by-THEORY	OPEN_EXCLUDED	none	coordinate-time dependence is not physical dynamics
