source_id	path	sha256	size_bytes
S001	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
S002	udt_full_local_jet_strata_p02_2026-07-27/AUDIT_REPORT.md	f0ae27e21b7492c09a6ae8e5124414345b172700cb47e07f866f11f48a7a91e3	7822
S003	udt_full_local_jet_strata_p02_2026-07-27/STATUS_LEDGER.tsv	97038ea4a3a7d98afc6f39605ab60bdff89893e4f387a18a98d12474fa48b38c	3038
S004	udt_full_local_jet_strata_p02_2026-07-27/AXIS_CONTRACT.tsv	2180450c39808150b7c2e780e338a9175b66be2a433a40452b9666c2fe8f3fab	802
S005	udt_full_local_jet_strata_p02_2026-07-27/STRATUM_CENSUS.json	1b5f7a076bf6551184698a45df73a3136fccf5fe56f4f40c09815cdd35780d59	2750
S006	udt_full_local_jet_strata_p02_2026-07-27/P02B_CENSUS.json	31fe6f8f7eb300c88d90ea38dd52ca0986a757d359d09057eeb546150e7ebffd	1486
S007	udt_full_local_jet_strata_p02_2026-07-27/NEXT_STEP.md	82e29f35c6d7392f0ad001dd59d184ebde4a0ba1a498e84b56984effa0068b1e	2158
S008	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	5790
S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	2002
S010	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	25b4fd3b9a904c992b3b05a6f7480c8151c5d56c09b440d79074d22b96aff0b9	2294
S011	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/VERIFICATION_RESULT.json	79a88a93803bc2c5911fac89d167a93982df3020a43adda3df4debd5c812bdd7	929
