claim_id	object	status	epistemic_label	exact_scope	open_or_forbidden_extension
P03S01	P03 source universe	AUDITED	VERIFIED-WITH-CAVEATS	57 preregistered byte-frozen sources	arbitrary repository or literature sources not covered
P03S02	named candidate evidence occurrences	AUDITED	OBSERVED	713 collision-free rows from 31 frozen candidate-bearing tables	rows are evidence occurrences not physical branches
P03S03	registered completion classes	CENSUSED	OBSERVED	12 exact registered classes	no class selected
P03S04	complete metric controls	TWO_CONDITIONAL_CONTROLS	CONDITIONAL	Q01 round S3 and Q02 squashed S3	neither is a selected physical universe
P03S05	complete founded (g,phi) finite-cell object	ABSENT_FROM_REGISTERED_UNIVERSE	OPEN	exact frozen P03 source universe	not a universal no-go
P03S06	Q01 founded-depth join	FAILS	OBSERVED	conditional ultrastatic round S3 control	coordinate time is not founded reciprocal depth
P03S07	Q02 founded-depth join	FAILS	OBSERVED	complete off-shell ultrastatic squashed S3 control	metric-selected unoriented line does not found phi
P03S08	WR-L global join	INCOMPLETE	OPEN	local nontrivial clock profile	must not be cross-spliced with S3 controls
P03S09	P02 constructive-stratum aggregate	7897	OBSERVED	P02-A aggregate census	not physical branches or frequencies
P03S10	P02 lossless family projection	BLOCKED_UNREGISTERED_DETAIL_INPUTS	OPEN	STRATUM_LEDGER and P02B_CANDIDATE_LEDGER omitted from P03 freeze	no post-inspection source expansion
P03S11	P03-B global construction	NOT_LAUNCHED	OPEN	preregistered source-availability gate failed	no ansatz repair or GPU work
P03S12	P03 result	OPEN_MISSING_GLOBAL_DEFINITION	VERIFIED-WITH-CAVEATS	registered source and named-object occurrence universe	no complete solution-space claim
P03S13	action source carrier density bootstrap boundary functional	EXCLUDED	OPEN	outside P03 scope	must not be inferred from constructibility
P03S14	strong local CSN	INACTIVE	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	current premise registry	must not be used as a selector
P03S15	c_E and G_obs	RETAINED	OBSERVED_ANCHORS	current calibrated physical-metric reading	no new scale calculation in P03
P03S16	GPU or physical time evolution	NOT_RUN	OPEN	P03-A CPU/text exact-table work only	needs a new well-posed preregistered contract
