claim	status	scope	remaining_open
displayed_rotation_family_regular	DERIVED_CONDITIONAL	a_positive_C3_and_A_N_B_R_real_C2_in_one_chart	global_and_other_coframe_families
central_pair_pullback_conformal	DERIVED_CONDITIONAL	p_equals_w_equals_zero_plus_z_germ	other_pair_germs
coordinate_screen_connection_equals_2Omega	DERIVED_CONDITIONAL	displayed_family	spatial_dependence_and_other_screens
coordinate_tide_formula	DERIVED_CONDITIONAL	displayed_family_and_germ	arbitrary_complete_metrics
parallel_screen_G194_form	DERIVED_CONDITIONAL	O_prime_equals_minus_2Omega_O	global_screen_holonomy
general_real_matrix_factorization	DERIVED_CONDITIONAL	arbitrary_real_C2_2x2_M_in_displayed_family	larger_coframe_families
no_nonvertex_caustic	DERIVED_CONDITIONAL	connected_regular_interval_and_source_vertex	cut_loci_singularities_global_completion
profile_functions	FREE_AND_EXPLORED	a_A_N_B_R	physical_metric_profile
physical_observer_population	OPEN	not_selected	all
observational_transfer	OMITTED	not_a_construction_input	all
package_grade	EXTERNALLY_REVIEWED_VERIFIED_WITH_CAVEATS	266_histories_5059_assertions_18_catches_and_two_live_no_write_replays	arbitrary_complete_coframes_other_germs_physical_profiles_and_global_completion
