item	status	role	omitted_or_open
c_E	OBSERVED__SET_TO_ONE_IN_CONTROL_UNITS	clock_ruler_calibration_only	placement_and_closure
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	after_full_pair_pullback	global_extension_and_canon
displayed_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	bounded_symmetric_plus_rotation_extension	general_complete_metric
a_positive_C3_a0_one	FREE_AND_EXPLORED__SOURCE_UNIT_CALIBRATION	common_scale_function	physical_profile
A_N_B_R_real_C2	FREE_AND_EXPLORED	symmetric_mixing_plus_antisymmetric_rotation	physical_profile
central_pair_plus_z	CHOSE_QUERY	completed_pair_and_outgoing_germ	physical_query_population
parallel_screen_and_jacobi	DERIVED_CONDITIONAL	metric_evaluator_outputs	transfer_and_observations
turns_caustics_signs	CHARACTERIZE_NOT_FILTER	outcome_classes	global_branch_aggregation
P1_G116_G189	OMITTED	forbidden_construction_inputs	none
Xmax_transfer_source_observations	OMITTED	downstream_or_global_only	all
