item	status	boundary
terminal endpoint reciprocal density	DERIVED_CONDITIONAL	computed from each supplied regular calibrated endpoint pair metric after full pullback
endpoint-relative depth	DERIVED_BOUNDED_INTEGRATION_REPAIR	delta_AB equals Phi_B minus Phi_A only inside one consistently carried reciprocal calibration class
bidirectional scalar reversal	DERIVED_BOUNDED	swapping the same endpoint data gives delta_BA equals minus delta_AB
matched scalar composition	DERIVED_BOUNDED	telescopes only when the middle calibrated endpoint state is literally shared
G169 same-sign endpoint witness	RECLASSIFIED	equal nonzero endpoint densities imply zero relative arrow depth
primary angular orchestra	DERIVED_CONDITIONAL	angular Gram enters each endpoint pullback before relative readout
co-presence premise	NOT_LOAD_BEARING	absent from derivation and implementations
observer pair and endpoint calibration	SUPPLIED_EVALUATOR_ARGUMENTS	one consistently calibrated endpoint family is required and is not promoted to a physical selection law
reciprocal calibration carry	OPEN_LOAD_BEARING	independent reciprocal recalibrations shift delta by c_B minus c_A and cannot be joined without lawful carry
full non-scalar carry	OPEN_SEPARATE	connection screen shift orientation holonomy and cross-query carry are not closed by scalar ratio
positive metric-space distance	NOT_CLAIMED	identity separation triangle and global axioms not derived
general ambient time-live completion	OPEN	bounded primary static-spherical local result only
Xmax action source matter bootstrap observations signalling	OUT_OF_SCOPE	none enters G170
