sha256	path	role
f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	SIMPLE_METRIC_MACRO.md	founding metric orientation
74497246b6eca01e80b2bfb4b9d2871e10b237135aa3fe33485a9815ba350e06	CURRENT_SCIENTIFIC_PREMISES.md	current premise boundary
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	original endpoint-relative rule
a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	original terminal landing
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	primary scalar kernel
3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	G166 bounded status
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	primary metric angular pullback
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	G167 bounded status
611928ca840624448cf3c22759ecc7e9582cba8ae2f2a10749aa2ea6b0cc1913	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/EXACT_DERIVATION.md	supplied-germ plane theorem
24712719136b000e64367b6ebd234a2ef8d5b5f07ab493cfc4ea54e73b483ed9	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	G168 bounded status
2e19019f6e2829eaac4ac8fef92a4bb3dbd07c37258bb37a236a4812c4c444d4	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/EXACT_DERIVATION.md	G169 reversal counterexample and boundary
b31c31b2561c7d34fddee78218b4af823a69497978509841acbeab4df0d35ddd	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/AUDIT_REPORT.md	G169 final conditional landing
