source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G41-G48 precedence and scope guards	400087612d5ec6db91534b0063913572d295937f:CURRENT_SCIENTIFIC_PREMISES.tsv	87a8772fa15062abacbdf93a33465d0d933690be	a3250ba5bfab81a8426692974b4ec9d18544ef905758c6c8d9fb4023d901842f	34472
S02	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/AUDIT_REPORT.md	controlling leafwise normal-holonomy result	400087612d5ec6db91534b0063913572d295937f:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/AUDIT_REPORT.md	18a5f7d4f6271655ca0b82e9826cd9d6afe823c5	9ea7348cca1f6200769908083f0a548aa03f95911d32e7b8c72b1ec501f2a80f	2885
S03	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	banked brackets connection and F01	400087612d5ec6db91534b0063913572d295937f:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	e29c93192c53f770644b9ad412551f2f1230d6cf	bc12d74d4f28bacb9764f26604bb667085dd2d359f6fdb19059bf715d09e07f6	5976
S04	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/DERIVATION_RESULT.json	exact banked machine result	400087612d5ec6db91534b0063913572d295937f:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/DERIVATION_RESULT.json	1ea87bbdd663890b10e13e5cdfd73c96e0947987	9a9faeb3b73262e5dbcc8c93f4c21af7f3b66bc85b0e4e21d5db4561c22822f5	2750
S05	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/HOLONOMY_CLASSIFICATION.tsv	contractible wound and O2 classification	400087612d5ec6db91534b0063913572d295937f:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/HOLONOMY_CLASSIFICATION.tsv	d8dfd76420a61ad66c2e963d9ef352c54eb7425e	b98f31decbfaf94e73daa3a648c011c440738a156254f9f7865edc7e744b9168	940
S06	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/LAMBDA_STRATUM_ATLAS.tsv	supplied lambda classification parent	400087612d5ec6db91534b0063913572d295937f:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/LAMBDA_STRATUM_ATLAS.tsv	aa4044673839c569563ce87192a3c13452ab6d2b	7510d50636d9db74df656fb3442274973a94a057c15e8202324e8103fdb5508b	654
S07	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	global leaves frame brackets and normal seam	400087612d5ec6db91534b0063913572d295937f:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	a83304a2e34f1b11603677ad78163f0b10932b77	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	7677
S08	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	conditional vertical metric class	400087612d5ec6db91534b0063913572d295937f:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	ff51b1a7e8b91fa6a87c0c67f7751cb977b95f12	fd140c5452faa49021f748e8a27384ba07dabb83dda0c4166ffb3f931cbf9d80	7900
S09	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	C01-C06 parameter identities	400087612d5ec6db91534b0063913572d295937f:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	5028e027756c3299db9b7443dac82a4f63e81cf2	284b39437d484df81eb990651d7910eb48f4dda71820683d1a9c3f3da4c46ae3	358
S10	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	projected screen connection and global quotient cautions	400087612d5ec6db91534b0063913572d295937f:udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	9f6e9b3b1227e71c707d6ff5606aec83efcce943	ee019298dda60e8d98da6a4e439be397c0b77ed796ed5f3070501445956922a4	8535
