gate_id	mutation_or_failure	required_disposition
F01	connection_coefficients_assigned_instead_of_derived	FAIL
F02	leafwise_F01_fails_to_reproduce_banked_formula	REFUTE
F03	one_or_more_mixed_curvature_components_erased	REJECT
F04	horizontal_F23_erased_or_assumed_flat	REJECT
F05	incompatible_frame_jets_treated_as_independent	REJECT
F06	connection_fails_metricity_or_SO2_overlap_law	REFUTE
F07	path_transport_fails_identity_composition_or_reversal	REFUTE
F08	flat_local_curvature_said_to_erase_wound_holonomy	REJECT
F09	Hopf_horizontal_lift_said_to_select_a_base_path	REJECT
F10	one_lambda_or_leaf_selected	REJECT
F11	oriented_signed_angle_called_O2_representative_free	REJECT
F12	projected_normal_connection_called_ambient_Lorentz_holonomy	REJECT
F13	projected_connection_called_physical_nonisometric_observer_arrow	REJECT
F14	base_descent_claimed_without_basicness_and_overlap_proof	REJECT
F15	bounded_stationary_result_generalized_to_time_live_or_degenerate_strata	REJECT
F16	downstream_action_source_matter_bootstrap_Xmax_CMB_signalling_or_dynamics_inferred	REJECT
