claim	status	scope	remaining_open
displayed_longitudinal_family_regular	DERIVED_CONDITIONAL	a_positive_C3_and_M_real_C2_eta_z_in_one_chart	transverse_dependence_and_other_coframes
central_pair_pullback_conformal	DERIVED_CONDITIONAL	p_equals_w_equals_zero_plus_z_germ	other_pair_germs
affine_ray_and_frequency_unchanged	DERIVED_CONDITIONAL	displayed_family_and_germ	other_directions
screen_connection_equals_2Omega	DERIVED_CONDITIONAL	displayed_family_and_germ	global_screen_holonomy
coordinate_tide_uses_Dplus	DERIVED_CONDITIONAL	Dplus_equals_partial_eta_plus_partial_z	arbitrary_complete_metrics
general_real_matrix_factorization	DERIVED_CONDITIONAL	M_bar_restricted_to_each_outgoing_ray	other_ray_families
no_nonvertex_caustic	DERIVED_CONDITIONAL	connected_regular_outgoing_ray_interval_and_source_vertex	cut_loci_singularities_global_completion
same_ray_alias_blindness	DERIVED_CONDITIONAL	one_selected_outgoing_germ	multi_direction_network_reconstruction
profile_functions	FREE_AND_EXPLORED	a_A_N_B_R	physical_metric_profile
physical_observer_population	OPEN	not_selected	all
observational_transfer	OMITTED	not_a_construction_input	all
package_grade	EXTERNALLY_REVIEWED_VERIFIED_WITH_CAVEATS	204_histories_5313_assertions_9_catches	arbitrary_coframes_other_germs_physical_profiles_and_global_completion
