operation_id	operation	metric_native_status	exact_result	physical_ruling
T01	coframe_to_metric_second_jet_map	DERIVED_SURJECTIVE	160_to_100_rank_100_nullity_60	COMPLETE_LOCAL_METRIC_HESSIAN_RELEASE
T02	metric_second_jet_to_Riemann_map	DERIVED_SURJECTIVE	100_to_20_rank_20_nullity_80	REPRODUCES_PRIOR_COMPLETE_CURVATURE_MODULE
T03	Riemann_identity_census	DERIVED_IDENTITIES	21_symmetric_bivector_entries_one_Bianchi_relation	ALGEBRAIC_IDENTITY_NOT_EOM
T04	bivector_2plus2_block_decomposition	DERIVED_GIVEN_SUPPLIED_SPLIT	all_1_10_1_4_4_1_block_entries_individually_available	GENUINE_RECIPROCAL_ANGULAR_CROSS_BLOCKS
T05	cross_block_relation_nullspace	DERIVED_ONE_DIMENSIONAL	R_01_23_minus_R_02_13_plus_R_03_12_equals_zero	UNIVERSAL_ALGEBRAIC_JOIN_NONSELECTION
T06	source_ensemble_image_atlas	DERIVED_GIVEN_SUPPLIED_SPLIT	founded_8_other_base_11_screen_14_mixing_18	NO_SINGLE_ENSEMBLE_SPANS_FULL_CURVATURE
T07	source_ensemble_intersections	DERIVED_GIVEN_SUPPLIED_SPLIT	minimal_full_sets_founded_screen_mixing_OR_other_base_screen_mixing	MIXING_AND_SCREEN_REQUIRED_FOR_FULL_MODULE_BASE_ROLE_NOT_UNIQUE
T08	unnormalized_N_stratum_atlas	DERIVED	N_ranks_timelike_3_spacelike_3_null_1_zero_0;N2_equals_sN	STRATIFIED_FILTER_NOT_CONSTANT_RANK_PROJECTOR
T09	timelike_spacelike_tidal_quotients	DERIVED	both_full_symmetric_3D_image_rank_6	PLURAL_TIDAL_DATA_NO_SELECTED_TENSOR
T10	nonzero_null_screen_quotient	DERIVED_INTRINSIC	well_defined_on_p_perp_mod_p_sharp;full_symmetric_2D_image_rank_3	NULL_SCREEN_SURVIVES_AS_QUOTIENT_NOT_NORMALIZED_PROJECTOR
T11	zero_rank_asymptotic_boundaries	CLASSIFIED_OPEN	zero_dphi_no_tidal_screen;rank_loss_no_Levi_Civita;phi_asymptotes_limit_only	NO_GENERALIZED_CONTINUATION_OR_XMAX
T12	compatibility_and_evolution_ownership	NO_KINEMATIC_RETURN	curvature_and_Bianchi_reconstruct_each_supplied_second_jet;same_solution_source_dphi_join_open	NO_PHYSICAL_EVOLUTION_BOOTSTRAP_OR_ACTION
