ensemble	generator_count	curvature_image_rank	base_base	mixed_mixed	screen_screen	base_mixed	mixed_screen	base_screen	status
FOUNDED_RECIPROCAL	1	8	1	3	0	4	0	0	DERIVED_IMAGE
OTHER_BASE	2	11	1	6	0	4	0	0	DERIVED_IMAGE
SCREEN	3	14	0	9	1	0	4	0	DERIVED_IMAGE
MIXING	4	18	0	10	0	4	4	1	DERIVED_IMAGE
FOUNDED_PLUS_OTHER_BASE	3	14	-	-	-	-	-	-	DERIVED_UNION
FOUNDED_PLUS_SCREEN	4	19	-	-	-	-	-	-	DERIVED_UNION
FOUNDED_PLUS_MIXING	5	19	-	-	-	-	-	-	DERIVED_UNION
OTHER_BASE_PLUS_SCREEN	5	19	-	-	-	-	-	-	DERIVED_UNION
OTHER_BASE_PLUS_MIXING	6	19	-	-	-	-	-	-	DERIVED_UNION
SCREEN_PLUS_MIXING	7	19	-	-	-	-	-	-	DERIVED_UNION
FOUNDED_OTHER_BASE_SCREEN	6	19	-	-	-	-	-	-	DERIVED_UNION
FOUNDED_OTHER_BASE_MIXING	7	19	-	-	-	-	-	-	DERIVED_UNION
FOUNDED_SCREEN_MIXING	8	20	-	-	-	-	-	-	MINIMAL_FULL_SET
OTHER_BASE_SCREEN_MIXING	9	20	-	-	-	-	-	-	MINIMAL_FULL_SET
ALL	10	20	1	10	1	4	4	1	DERIVED_COMPLETE
