source_id	path	sha256	role	disposition
S01	CURRENT_SCIENTIFIC_PREMISES.md	aa838e9a29b3acf66426850a8b9023eca94a9ab16c1746b06a8b81f521adce44	current premise meanings	CONTROLLING
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	225b74172b53e9d74691c45b19831ec86a9fdaab15f24aa3e7e1d966cface390	machine premise precedence	CONTROLLING
S03	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/AUDIT_REPORT.md	7b3cc8044e36ab451b6c1dc07e6830334bb6d288e77fb95a86926eadc337223a	immediate first-jet parent	CONTROLLING_PARENT
S04	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/EXACT_DERIVATION.md	0fe738597c746b4072eb555de7a6034857d05f05fac3df0f3a570a107134e257	first-jet exact architecture	CONTROLLING_PARENT
S05	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/RESULT.json	41fc6442977b1a5e36a53ba2640e2e918a64bd94c8403c513f31e0a58f7c2799	first-jet machine result	CONTROLLING_PARENT
S06	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/PREMISE_LEDGER.tsv	bce6a10d1ffbfd5817772ba7fcba2495b41ac1c06ed5a884abf4da6c4fc40f2a	first-jet premise scope	CONTROLLING_PARENT
S07	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/TRANSITION_LEDGER.tsv	3154e2d19609f7baf262326e30bfaeaecb84550e31b6fc8b25bd413ebcac0e8a	first-jet transition rulings	CONTROLLING_PARENT
S08	udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	14a936317d1559d55494717fddde408e2c8c334dc793879e579db6a0987eced9	smooth extension/Cartan nonselection	PARENT
S09	udt_complete_coframe_extension_solvability_audit_2026-08-04/EXACT_DERIVATION.md	79d07c9fea46ef2b00757f412c5701ec3e748b6bfde5a5d137423379f4e06f0d	Cartan exact controls	PARENT
S10	udt_complete_coframe_extension_solvability_audit_2026-08-04/OPERATION_LEDGER.tsv	da08a792f11e13ac4e8e3e61bc982284ad3bd27b52b38418c405c2a11cd8cbe2	parent operation rulings	PARENT
