sheet_id	chart	bank_pair	carrier_id	mask_id	endpoint_route	derived_class	resolution_u	resolution_lambda	covered_boxes	minimum_positive_s_lower	maximum_negative_s_upper	maximum_partial_lambda_s_upper	root_envelope_minimum	root_envelope_maximum	partition_status	dphi_status	arithmetic	status
R00_1_M8_B0B1_J1	J1_GENERATOR_COEFFICIENT_JOIN	B0-B1	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	16	64	1024	3.6352910820375631e-05					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B0B1_J2	J2_EVALUATED_COFIELD_JOIN	B0-B1	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	16	64	1024	9.3948341638610376e-05					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B0B2_J1	J1_GENERATOR_COEFFICIENT_JOIN	B0-B2	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	16	64	1024	0.00012744789721318628					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B0B2_J2	J2_EVALUATED_COFIELD_JOIN	B0-B2	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	16	64	1024	0.00011706346943271008					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B0B3_J1	J1_GENERATOR_COEFFICIENT_JOIN	B0-B3	R00_1	M8	CROSS_SECTOR	FORCED_SINGLE_REGULAR_NULL_GRAPH	32	128	4096	0.00015437546085832768	-0.00049521884887704305	-0.0026182904020053666	0.72624917337155581	0.98153895138654657	CLOSED_DOMAIN_EXACT_COVER	NONZERO_COMPONENT_EVERY_ROOT_BOX	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B0B3_J2	J2_EVALUATED_COFIELD_JOIN	B0-B3	R00_1	M8	CROSS_SECTOR	FORCED_SINGLE_REGULAR_NULL_GRAPH	16	64	1024	3.3652218505047574e-05	-0.00039175288188802521	-0.0022521704535613148	0.71214346463307876	0.97004877749382856	CLOSED_DOMAIN_EXACT_COVER	NONZERO_COMPONENT_EVERY_ROOT_BOX	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B1B2_J1	J1_GENERATOR_COEFFICIENT_JOIN	B1-B2	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	16	64	1024	0.00011923034680720803					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B1B2_J2	J2_EVALUATED_COFIELD_JOIN	B1-B2	R00_1	M8	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	32	128	4096	2.5324245798924153e-05					CLOSED_DOMAIN_EXACT_COVER	NOT_APPLICABLE	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B1B3_J1	J1_GENERATOR_COEFFICIENT_JOIN	B1-B3	R00_1	M8	CROSS_SECTOR	FORCED_SINGLE_REGULAR_NULL_GRAPH	16	64	1024	0.00025443913587900691	-0.00012375023458436577	-0.0012275352933417932	0.17113059288874796	0.50697918929980013	CLOSED_DOMAIN_EXACT_COVER	NONZERO_COMPONENT_EVERY_ROOT_BOX	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
R00_1_M8_B1B3_J2	J2_EVALUATED_COFIELD_JOIN	B1-B3	R00_1	M8	CROSS_SECTOR	FORCED_SINGLE_REGULAR_NULL_GRAPH	16	64	1024	0.000312382821778704	-0.00019330336338515278	-0.001731360337579306	0.1456372542001951	0.50539175709865936	CLOSED_DOMAIN_EXACT_COVER	NONZERO_COMPONENT_EVERY_ROOT_BOX	INDEPENDENT_FULL_MATRIX_BINARY64_DIRECTED_INTERVAL	PASS
