endpoint_pair_id	J1_class	J2_class	topological_separator_agreement	J1_lambda_lo	J1_lambda_hi	J2_lambda_lo	J2_lambda_hi	shape_status
R00_1_M8_B0B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.72624917337155581	0.98153895138654657	0.71214346463307898	0.97004877749382878	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_M8_B1B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.17113059288874796	0.50697918929980024	0.14563725420019499	0.50539175709865936	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_M8_B2B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.55881647934034129	0.83621707040595983	0.42421718953196369	0.76779143313092846	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_M9_B0B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.72524946670561075	0.98169190215177971	0.71081661080669989	0.96664539190152909	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_M9_B1B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.17012211540443176	0.50953280276729596	0.14530539989670185	0.50898973960258953	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_M9_B2B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.55892490533094497	0.83501834101568029	0.422725492117691	0.76558853916135561	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_MA_B0B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.72588881549026929	0.98232562738234208	0.71094747881045206	0.97110167909907419	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_MA_B1B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.17114330910384598	0.50738537918194537	0.14566082752578499	0.50662066772666148	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_MA_B2B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.55893299927823514	0.83341714913237286	0.42190386492463244	0.76539222749455116	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
R00_1_MB_B0B3	FORCED_SINGLE_REGULAR_NULL_GRAPH	FORCED_SINGLE_REGULAR_NULL_GRAPH	YES	0.72502081345221459	0.98116932883399388	0.7097131137553937	0.9676976795544171	CHART_DEPENDENT_ENVELOPES__EXISTENCE_INVARIANT
