endpoint_pair_id	carrier_id	mask_id	bank_a	bank_b	identity_a	identity_b	causal_a	causal_b	pair_type
R00_1_M8_B0B1	R00_1	M8	B0	B1	B0_R00_1_M8	B1_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M8_B0B2	R00_1	M8	B0	B2	B0_R00_1_M8	B2_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M8_B0B3	R00_1	M8	B0	B3	B0_R00_1_M8	B3_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
R00_1_M8_B1B2	R00_1	M8	B1	B2	B1_R00_1_M8	B2_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M8_B1B3	R00_1	M8	B1	B3	B1_R00_1_M8	B3_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
R00_1_M8_B2B3	R00_1	M8	B2	B3	B2_R00_1_M8	B3_R00_1_M8	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
R00_1_M9_B0B1	R00_1	M9	B0	B1	B0_R00_1_M9	B1_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M9_B0B2	R00_1	M9	B0	B2	B0_R00_1_M9	B2_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M9_B0B3	R00_1	M9	B0	B3	B0_R00_1_M9	B3_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
R00_1_M9_B1B2	R00_1	M9	B1	B2	B1_R00_1_M9	B2_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_SPACELIKE	SAME_SIGN_CONTROL
R00_1_M9_B1B3	R00_1	M9	B1	B3	B1_R00_1_M9	B3_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
R00_1_M9_B2B3	R00_1	M9	B2	B3	B2_R00_1_M9	B3_R00_1_M9	UNIFORMLY_SPACELIKE	UNIFORMLY_TIMELIKE	CROSS_SECTOR
