catch_id	validator	rejection	result
P01_MISSING_ENDPOINT_PAIR	validate_state	endpoint-pair count	MUTATION_REJECTED_AS_REQUIRED
P02_DUPLICATE_ENDPOINT_PAIR	validate_state	endpoint-pair uniqueness	MUTATION_REJECTED_AS_REQUIRED
P03_MISSING_GROUP	validate_state	matched-group count	MUTATION_REJECTED_AS_REQUIRED
P04_MISSING_SHEET	validate_state	sheet count	MUTATION_REJECTED_AS_REQUIRED
P05_DUPLICATE_SHEET	validate_state	sheet uniqueness	MUTATION_REJECTED_AS_REQUIRED
P06_COUNT_CHARTS_AS_UNIVERSES	validate_state	chart census	MUTATION_REJECTED_AS_REQUIRED
P07_FLIP_SHEET_CLASS	validate_state	sheet-class census	MUTATION_REJECTED_AS_REQUIRED
P08_DROP_SAME_CERTIFICATE	validate_state	same-sign certificates	MUTATION_REJECTED_AS_REQUIRED
P09_ENDPOINT_ONLY_SAME_SIGN	validate_state	same-sign strictness	MUTATION_REJECTED_AS_REQUIRED
P10_DROP_NULL_GRAPH	validate_state	null-graph certificates	MUTATION_REJECTED_AS_REQUIRED
P11_HIDE_REGULARITY_FAILURE	validate_state	null-graph gates	MUTATION_REJECTED_AS_REQUIRED
P12_OUT_OF_DOMAIN_BOUND	validate_state	null-domain bounds	MUTATION_REJECTED_AS_REQUIRED
P13_HIDE_UNRESOLVED	validate_state	unresolved rows	MUTATION_REJECTED_AS_REQUIRED
P14_PROMOTE_CHART_SHAPE	validate_state	chart separator agreement	MUTATION_REJECTED_AS_REQUIRED
P15_DROP_MATRIX_ANCHOR	validate_state	independent matrix anchors	MUTATION_REJECTED_AS_REQUIRED
P16_IMPORT_PRODUCTION_BUILDER	validate_state	independent builder import	MUTATION_REJECTED_AS_REQUIRED
P17_MUTATE_SOURCE	validate_state	source integrity	MUTATION_REJECTED_AS_REQUIRED
P18_ASSIGN_PHYSICAL_LABEL	validate_state	physical labels	MUTATION_REJECTED_AS_REQUIRED
P19_IMPORT_ACTION	validate_state	action import	MUTATION_REJECTED_AS_REQUIRED
P20_PROMOTE_TO_SIMPLEX	validate_state	simplex overclaim	MUTATION_REJECTED_AS_REQUIRED
