sheet_id	endpoint_pair_id	chart	pair_type	primary_class	certified_boxes_or_segments	unresolved_boxes	null_components	lambda_root_envelope_lo	lambda_root_envelope_hi	largest_partial_lambda_s_upper	metric_degeneracies	physical_label
R00_1_M8_B0B1_J1	R00_1_M8_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_M9_B0B1_J1	R00_1_M9_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_MA_B0B1_J1	R00_1_MA_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_MB_B0B1_J1	R00_1_MB_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_MC_B0B1_J1	R00_1_MC_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_MD_B0B1_J1	R00_1_MD_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_ME_B0B1_J1	R00_1_ME_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_1_MF_B0B1_J1	R00_1_MF_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_M8_B0B1_J1	R00_3_M8_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_M9_B0B1_J1	R00_3_M9_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_MA_B0B1_J1	R00_3_MA_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_MB_B0B1_J1	R00_3_MB_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_MC_B0B1_J1	R00_3_MC_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_MD_B0B1_J1	R00_3_MD_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
R00_3_ME_B0B1_J1	R00_3_ME_B0B1	J1_GENERATOR_COEFFICIENT_JOIN	SAME_SIGN_CONTROL	UNIFORMLY_SPACELIKE_SHEET	1024	0	0				0	NONE
