premise_id	status	object	use_or_limit
P01	CHOSE_CONDITIONAL	conditional Lorentzian coframe representative	all causal statements are representative-scoped
P02	pinned-by-THEORY	complete exponential triangular coframe	keeps all ten latent metric fields
P03	pinned-by-THEORY	full angular and four shift fields	retained in every sheet
P04	pinned-by-THEORY	signed scalar phi and D	no matter-carrier interpretation
P05	pinned-by-THEORY	positive Common-Scale Neutrality	preserves sign and zero set of s
P06	free-and-explored_WITHIN_FROZEN_REGISTRY	48 deformation vectors	no candidate removed after inspection
P07	free-and-explored_WITHIN_FROZEN_REGISTRY	active masks M8 through MF	all 384 matched carrier/mask groups
P08	free-and-explored_WITHIN_FROZEN_REGISTRY	all six unordered bank pairs	2,304 endpoint pairs
P09	CHOSE	J1 generator/coefficient join	analytic configuration chart; not dynamics
P10	CHOSE	J2 evaluated-cofield join	local cofield robustness chart; no global scalar claim
P11	free-and-explored	interface position and shape	not targeted or fitted
P12	NOT_LOADED	action and field equation	no dynamical selection conclusion
P13	NOT_LOADED	matter source or carrier	no matter conclusion
P14	NOT_LOADED	boundary and finite-cell completion	no global solution conclusion
P15	NOT_LOADED	scale, density, c, G, electron mass, or empirical data	no calibration or physical regime assignment
P16	FORBIDDEN_AS_FILTER	particle, force, clock, and cosmic labels	not used in grading
P17	NOT_COVERED	bank-simplex interiors	edge atlas only
P18	NOT_COVERED	arbitrary amplitudes and arbitrary metric functions	frozen analytic registry only
P19	NOT_COVERED	time-live solution space	configuration paths are not time evolution
P20	NONE	pinned-by-HABIT premises	no habit-pinned physics premise used
