chart	bank_pair	pair_type	matched_sheets	sampled_scalar_values	sampled_roots	minimum_same_sign_s	maximum_crossing_derivative	status
J1_GENERATOR_COEFFICIENT_JOIN	B0-B1	SAME_SIGN_CONTROL	384	32640		1.6912433244489114e-06		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J1_GENERATOR_COEFFICIENT_JOIN	B0-B2	SAME_SIGN_CONTROL	384	32640		4.2617885064466998e-06		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J1_GENERATOR_COEFFICIENT_JOIN	B0-B3	CROSS_SECTOR	384		1920		-6.206517161761382e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
J1_GENERATOR_COEFFICIENT_JOIN	B1-B2	SAME_SIGN_CONTROL	384	32640		2.6586763966004578e-06		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J1_GENERATOR_COEFFICIENT_JOIN	B1-B3	CROSS_SECTOR	384		1920		-3.3542998412673044e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
J1_GENERATOR_COEFFICIENT_JOIN	B2-B3	CROSS_SECTOR	384		1920		-3.439439005793335e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B0-B1	SAME_SIGN_CONTROL	384	32640		2.3786720425203262e-06		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B0-B2	SAME_SIGN_CONTROL	384	32640		3.3359386093163087e-06		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B0-B3	CROSS_SECTOR	384		1920		-5.5603868290022235e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B1-B2	SAME_SIGN_CONTROL	384	32640		7.7859767928061883e-07		INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B1-B3	CROSS_SECTOR	384		1920		-4.3333593372090558e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
J2_EVALUATED_COFIELD_JOIN	B2-B3	CROSS_SECTOR	384		1920		-3.552394884550233e-05	INDEPENDENT_FULL_MATRIX_PROBES_PASS
