item	status	role	forbidden_promotion
UDT_metric	pinned-by-THEORY	exact supplied G323/G324/G338 metric	new kernel dynamics
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded dynamics ownership	derived theorem or canon
quiet_GR_response	OWNER_ADOPTED_PROVISIONAL_POSTULATE	G312 bounded response constitution	vacuum GR imported as founding theorem
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local response scope	unique possible architecture
G176_completed_pair_Dual_Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	W1 after complete pullback	canon or arbitrary-curve rule
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	projective pair readout	dimensionful distance or Xmax
Taub_Kasner_spacetime	DERIVED_CONDITIONAL_G323_G324_G338	exact T-positive development	selected universe
normal_congruence_n	CHOSE_DECLARED_QUERY	fixed geodesic homogeneous observers	physical observer population
reference_slice_T0	free-and-explored_positive	initial calibration slice	preferred now or scale
direction_rho	free-and-explored_closed_interval	all directions modulo exact transverse symmetry	physical germ population
rapidity_z	free-and-explored_finite_real	all finite initial boosts	preferred observer
lambda_interpolation	free-and-explored_closed_interval	diagnostic carry homotopy only	new physical field or coupling
Lie_connecting_carry	DERIVED_FOR_SUPPLIED_NORMAL_CONGRUENCE	separation of fixed comoving worldline labels	universally physical carry
parallel_carry	STANDARD_GEOMETRIC_CONTROL	local vector transported by Levi-Civita connection	alternative fixed comoving pair
Fermi_carry	STANDARD_GEOMETRIC_CONTROL	local nonrotating observer ruler	observer separation law
rotating_carry	free-and-explored_symbolic_skew	all norm-preserving spatial rotations	selected angular velocity
accelerated_principal_pairs	CHOSE_BOUNDED_DIAGNOSTIC_FAMILY	explicit Fermi controls on all three principal axes	complete accelerated-congruence census
acceleration_rotation_population	OMITTED_OPEN	would define additional observer histories	metric-derived selection
clock_timelike_stratum	DERIVED_DOMAIN	Delta positive for the declared clock basis	ambient horizon or Xmax
screen_mixing	OMITTED_BY_DECLARED_PAIR_PLANE	bounded normal-spatial query	absence from complete UDT
connection_tensor_congruence_methods	IMPORTED_MATHEMATICAL_METHOD	category-A differential geometry	new physical law
GPU	NOT_NEEDED	exact algebra is stronger for this tile	absence treated as incomplete calculation
observation_scale_Xmax	OMITTED_OPEN	no fit or attachment	prediction or selection
matter_mass_source_action	OMITTED_OPEN	vacuum diagnostic only	full-UDT absence theorem
stability_occupancy_canon	OMITTED_OPEN	carry classification only	physical verdict
