gate	failure_condition	maximum_if_passed
source_manifest	any_of_21_source_hashes_mismatch	declared_source_universe_replayed
target_census	not_exactly_6_unique_owner_targets	no_ownership_landing
source_atlas	not_exactly_21_unique_source_rows	no_complete_source_census
source_transitivity	exact_or_independent_congruence_replay_fails	unrestricted_source_compensation_retained
amplitude_quotient	normalized_shape_changes_above_2e-11_under_positive_amplitude	amplitude_separated_from_shape
endpoint_selection	query_input_or_Xmax_guard_called_physical_CMB_surface	endpoint_owner_remains_open
profile_selection	control_profile_or_SNe_anchor_called_selected_CMB_profile	profile_owner_remains_open
geometric_carry	metric_path_carry_not_found_in_frozen_sources	no_conditional_carry_owner
observable_carry	geometric_orientation_called_scalar_TT_without_response_map	observable_owner_remains_open
global_completion	bootstrap_or_global_language_substituted_for_explicit_map	no_native_selection_owner
scope	absence_in_frozen_sources_called_universal_no_go	source_bounded_result_only
protected_draft	any_of_7_protected_paths_read_modified_or_staged	protected_metadata_only
external_status	report_claims_external_verification_before_review	internal_verified_pending_review_only
