from_node	to_node	edge	status	owner_or_blocker
metric_plus_supplied_query	screen_map_D	Jacobi_and_screen_projection	DERIVED_CONDITIONAL_ON_QUERY	physical_CMB_query_open
screen_map_D_plus_source_covariance	observed_covariance	C_obs_equals_D_Csrc_DT	DERIVED	transport_not_population
screen_map_D_plus_observed_covariance	compensating_source_covariance	Csrc_equals_Dinv_Cobs_DinvT	DERIVED_EXACT	unrestricted_source_action_transitive
native_source_law	source_shape	population_or_response_map	OPEN_NO_OWNER	complete_source_law_absent
native_source_law	source_normalization	amplitude_map	OPEN_NO_OWNER	complete_source_law_absent
positive_source_amplitude	log_covariance_area	A_shifts_by_log_alpha	DERIVED	shape_coordinates_quotient_amplitude
supplied_endpoint_plus_profile	screen_map_D	finite_path_evaluation	DERIVED_CONDITIONAL_ON_QUERY	evaluation_is_not_selection
global_metric_completion	physical_endpoint	selection_map	OPEN_NO_OWNER	no_frozen_nonidentity_global_selector
global_metric_completion	physical_profile	history_or_branch_selection_map	OPEN_NO_OWNER	regular_chart_locally_jet_open_and_no_owned_history_rule
metric_plus_supplied_path	geometric_carry_psi	azimuthal_or_normal_transport	DERIVED_CONDITIONAL_ON_QUERY	path_and_screen_required
geometric_carry_psi	scalar_TT_observable	observation_projection	TYPE_MISMATCH	orientation_not_direct_scalar_TT_readout
geometric_carry_plus_spin_source	polarization_channel	orientation_sensitive_response	OPEN_NO_OWNER	normal_transport_and_spin_sensitive_source_missing
Xmax_working_guard	physical_CMB_endpoint	asymptotic_limit_to_last_scattering	TYPE_MISMATCH	Xmax_not_wall_endpoint_or_selector
P1_SNe_compatibility	physical_CMB_profile	cross_anchor	WORKING_GLOBAL_FRAME_ONLY	low_z_conditional_readout_not_centered_CMB_profile
bootstrap_hypothesis	any_owner_target	global_local_selection	WORKING_GLOBAL_FRAME_ONLY	no_fixed_point_or_selection_formula
action_or_native_source	any_owner_target	dynamical_or_response_selection	OPEN_NO_OWNER	complete_action_and_source_open
