source_role	source_path	source_shape	source_normalization	physical_endpoint	physical_profile	geometric_carry	observable_carry	decisive_evidence
CURRENT_G70_ADJUDICATION	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/EXTERNAL_REVIEW_ADJUDICATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	all_physical_restrictions_retained_open
CURRENT_G70_DERIVATION	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/EXACT_DERIVATION.md	CHOSE_CONTROL	CHOSE_CONTROL	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	R05_sufficiency_requires_supplied_source_and_carry_readout
CURRENT_G70_OWNERSHIP	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/OWNERSHIP_LEDGER.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	explicit_owner_rows
SOURCE_DEGENERACY_PARENT	udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	exact_congruence_and_three_geometric_channels_not_three_observables
FINITE_PATH_PARENT	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	profile_endpoint_query_and_psi_all_control_scoped
QUERY_OWNERSHIP	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	Q00_Q01_Q04_Q06_Q09_Q11_open
OBSERVATION_OWNERSHIP	udt_cmb_complete_observation_query_map_2026-08-11/OBSERVABLE_CHANNEL_REQUIREMENTS.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	NOT_RELEVANT	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	scalar_TT_does_not_directly_read_orientation_and_polarization_requires_source
COMMON_QUERY_PARENT	udt_common_query_pair_immersion_reconstruction_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	typed_query_evaluates_supplied_realization_without_selecting_physical_query
SNE_CONDITIONAL_ANCHOR	udt_sne_native_observer_query_replay_2026-08-11/AUDIT_REPORT.md	NOT_RELEVANT	NOT_RELEVANT	OPEN_NO_OWNER	WORKING_GLOBAL_FRAME_ONLY	NOT_RELEVANT	NOT_RELEVANT	low_z_compatibility_anchor_cannot_be_copied_into_CMB_profile_or_endpoint
MULTICHANNEL_SPINE	udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	U_gamma_conditional_and_measurement_projection_owner_open
QUERY_PROJECTION_SPINE	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	Delta_phi_projection_founded_only_after_pair_supplied_and_broader_measurements_open
REGIME_SPINE	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	zero_optional_measurement_selector_and_physical_regime_owners
GLOBAL_DESCENT_SPINE	udt_global_descent_pair_surface_reset_ownership_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	R17_path_functor_owned_but_zero_complete_physical_descent_selectors
COFRAME_TRANSPORT_SPINE	udt_complete_coframe_calibration_transport_from_scratch_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	complete_pair_readout_after_supplied_family_physical_global_owner_open
CAUSAL_QUERY_SPINE	udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	causal_pullback_after_immersion_supplied_is_not_selector_or_observation
ORCHESTRA_SPINE	udt_pair_instrument_mixing_solution_space_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	angular_orchestra_geometric_but_physical_trajectory_and_weights_open
TIMELIVE_SPINE	udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	compatibility_reads_any_history_but_selects_none
HISTORY_RESTRICTION_SPINE	udt_native_history_restriction_from_scratch_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	NOT_RELEVANT	OPEN_NO_OWNER	zero_owned_nonidentity_history_restrictions_in_frozen_sources
NETWORK_SPINE	udt_complete_observer_network_assembly_from_scratch_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	assembly_identities_retain_route_dependence_and_no_relation_owner
SOLVED_BRANCH_SPINE	udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	endpoint_and_route_channels_coexist_but_physical_query_readout_open
CURRENT_PREMISES	CURRENT_SCIENTIFIC_PREMISES.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	native_source_and_complete_physics_open_Xmax_working_not_selector
