source_role	source_path	source_shape	source_normalization	physical_endpoint	physical_profile	geometric_carry	observable_carry	literal_token	line_number
CURRENT_G70_ADJUDICATION	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/EXTERNAL_REVIEW_ADJUDICATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	`OPEN`: physical CMB query, endpoint/profile, source covariance and normalization, scalar-TT carry	59
CURRENT_G70_DERIVATION	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/EXACT_DERIVATION.md	CHOSE_CONTROL	CHOSE_CONTROL	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	The current metric/query sources own the control-query screen map `D` and the geometric carry `psi`	144
CURRENT_G70_OWNERSHIP	udt_cmb_G70_query_owned_restriction_atlas_2026-08-11/OWNERSHIP_LEDGER.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	physical_CMB_observer_sky_query	3
SOURCE_DEGENERACY_PARENT	udt_cmb_G69_profile_endpoint_source_identifiability_2026-08-11/EXACT_DERIVATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	they are not automatically three observed	35
FINITE_PATH_PARENT	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md	OPEN_NO_OWNER	OPEN_NO_OWNER	CHOSE_CONTROL	CHOSE_CONTROL	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	does not select a physical metric	13
QUERY_OWNERSHIP	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	OPEN_PHYSICAL_CMB_QUERY	2
OBSERVATION_OWNERSHIP	udt_cmb_complete_observation_query_map_2026-08-11/OBSERVABLE_CHANNEL_REQUIREMENTS.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	NOT_RELEVANT	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	PURE_SO2_ROTATION_NOT_DIRECTLY_READ_BY_SCALAR_TT	3
COMMON_QUERY_PARENT	udt_common_query_pair_immersion_reconstruction_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	does not select a physical query	74
SNE_CONDITIONAL_ANCHOR	udt_sne_native_observer_query_replay_2026-08-11/AUDIT_REPORT.md	NOT_RELEVANT	NOT_RELEVANT	OPEN_NO_OWNER	WORKING_GLOBAL_FRAME_ONLY	NOT_RELEVANT	NOT_RELEVANT	Do not copy P1 into a centered CMB lapse	151
MULTICHANNEL_SPINE	udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	This is conditional on the supplied calibrated pair relation	24
QUERY_PROJECTION_SPINE	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	This does not derive a complete observer arrow	54
REGIME_SPINE	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	No branch or global completion selects optional measurement coefficients	25
GLOBAL_DESCENT_SPINE	udt_global_descent_pair_surface_reset_ownership_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	zero complete physical descent-selector owners	58
COFRAME_TRANSPORT_SPINE	udt_complete_coframe_calibration_transport_from_scratch_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	PHYSICAL_PAIR_FAMILY_TRANSITION_BRANCH_PATH_AND_GLOBAL_OWNER_OPEN.	39
CAUSAL_QUERY_SPINE	udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	automatic after an immersion is supplied	48
ORCHESTRA_SPINE	udt_pair_instrument_mixing_solution_space_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	still-open physical trajectory	40
TIMELIVE_SPINE	udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	reads any supplied history	16
HISTORY_RESTRICTION_SPINE	udt_native_history_restriction_from_scratch_2026-08-10/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	NOT_RELEVANT	OPEN_NO_OWNER	NO_CURRENTLY_OWNED_NONIDENTITY_HISTORY_RESTRICTION_IS_FOUND_IN_THE_TEN_FROZEN_SOURCES.	7
NETWORK_SPINE	udt_complete_observer_network_assembly_from_scratch_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	ownership of the physical calibrated relation family	23
SOLVED_BRANCH_SPINE	udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/AUDIT_REPORT.md	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	combination an actual ordered observer query reads	77
CURRENT_PREMISES	CURRENT_SCIENTIFIC_PREMISES.tsv	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	OPEN_NO_OWNER	DERIVED_CONDITIONAL_ON_QUERY	OPEN_NO_OWNER	OPEN_RESPONSE_OR_CURRENT_ROLE_NOT_SUBSTANCE	22
