object_id	object	primary_question	maximum_allowed_status
H01	supplied_map_n	does_definition_use_affine_transport	DEPENDENCY_CLASSIFICATION
H02	target_area_form	does_definition_use_domain_affine_transport	DEPENDENCY_CLASSIFICATION
H03	pullback_F	does_pullback_use_affine_transport	DEPENDENCY_CLASSIFICATION
H04	closure_dF	does_true_exterior_closure_depend_on_affine_transport	DEPENDENCY_CLASSIFICATION
H05	primitive_a	which topology_boundary_and_gauge_data_are_needed	DEPENDENCY_CLASSIFICATION
H06	Hopf_integral	which_map_domain_orientation_normalization_data_are_needed	DEPENDENCY_CLASSIFICATION
H07	covariant_closure_rewrite	how_torsion_changes_component_formula	EXACT_TORSION_IDENTITY
H08	Hodge_Coulomb_primitive	which_metric_boundary_and_gauge_data_are_needed	DEPENDENCY_CLASSIFICATION
H09	reciprocal_toric_principal_connection	is_it_same_type_as_affine_transport	TYPED_DISTINCTION
H10	celestial_or_screen_S2_fiber	does_fiber_supply_section	OPEN_OR_CONDITIONAL
H11	internal_target_L2_plus_L4	does_energy_depend_on_affine_connection_or_metric	EXACT_WEIGHTED_DEPENDENCY
H12	tangent_null_section_energy	what_transport_is_needed_for_frame_covariance	OPEN_OR_CONDITIONAL
H13	static_Hessian_stability	can_existing_result_export_across_transport_metric_branches	NO_PROMOTION
H14	time_live_persistence	what_law_and_boundary_are_missing	OPEN
H15	physical_boundary_framing	can_solver_boundary_be_promoted	NO_PROMOTION
H16	bootstrap_placement	which_bracket_has_current_authority	DEPENDENCY_CLASSIFICATION
