object_id	object	status	map_or_bundle	domain_or_global	metric	affine_transport	action_or_dynamics	boundary_or_framing	bootstrap	exact_ruling
H01	supplied_map_n	CONDITIONAL_SUPPLIED	S2_carrier_posit	domain_required	no	no	no	regularity_or_constant_exterior	no	map_definition_does_not_require_affine_transport_but_map_is_not_metric_derived
H02	target_area_form	CONDITIONAL_SUPPLIED	round_S2_normalization	not_applicable	target_metric_yes	no	no	no	no	normalization_is_carrier_data_not_affine_transport
H03	pullback_F	DERIVED_EXACT_CONDITIONAL	n_and_target_area_form	domain_required	no	no	no	boundary_not_for_local_definition	no	F_equals_pullback_n_omega_uses_no_affine_connection
H04	closure_dF	DERIVED_EXACT_CONDITIONAL	smooth_map_and_closed_target_form	local_chart_or_global_forms	no	no	no	no	no	true_exterior_closure_is_affine_transport_independent
H05	primitive_a	CONDITIONAL_GLOBAL	F_exact_or_cohomologically_trivial	global_H2_condition	representative_may_depend	no	no	gauge_and_boundary_class	no	existence_is_topological_while_a_chosen_representative_is_not_unique
H06	Hopf_integral	DERIVED_EXACT_CONDITIONAL	F_and_primitive_a	closed_or_fixed_boundary_class	no	no	no	orientation_normalization_and_vanishing_boundary_term	no	Q_is_gauge_and_affine_transport_independent_in_declared_domain
H07	covariant_closure_rewrite	DERIVED_EXACT	F	local	no	yes_only_as_rewrite	no	no	no	torsion_free_rewrite_needs_no_correction_but_torsionful_rewrite_does
H08	Hodge_Coulomb_primitive	DEPENDENT_REPRESENTATIVE	F_and_gauge	global_elliptic_problem	yes	no	no	yes	no	representative_depends_on_metric_boundary_and_gauge_even_when_Q_does_not
H09	reciprocal_toric_principal_connection	EXACT_CONDITIONAL_TYPED_OBJECT	principal_U1_bundle	supplied_periods_caps_orientation_quotient	base_or_bundle_geometry	no_affine_TM_connection	no	global_completion_supplied	no	not_the_same_type_as_affine_tangent_transport
H10	celestial_or_screen_S2_fiber	FIBER_DERIVED_SECTION_OPEN	conditional_null_or_screen_fiber	nonnull_dphi_stratum	yes	transport_relevant_to_comparison	no	trivialization_and_section_open	future_Sigma_only_conditional	fiber_does_not_select_a_carrier_section
H11	internal_target_L2_plus_L4	CONDITIONAL_CHOSE_BRANCH	internal_round_S2	map_domain	yes_via_measure_and_contractions	no_direct_affine_input	yes_supplied_E2_plus_E4	yes	no_direct_current_role	direct_affine_independence_does_not_make_energy_metric_or_premise_independent
H12	tangent_null_section_energy	OPEN_NOT_SUPPLIED	tangent_or_associated_bundle	section_domain	yes	selected_bundle_connection_or_intrinsic_derivative	complete_action_open	physical_boundary_open	future_Sigma_or_B_only_conditional	cannot_reuse_ordinary_internal_target_derivatives_without_a_selected_identification
H13	static_Hessian_stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	internal_round_S2	finite_box	supplied_flat_branch	locked_existing_operator	supplied_L2_plus_L4	static_solver_wall	no_export	remains_exactly_scoped_to_existing_carrier_action_metric_box_and_operator
H14	time_live_persistence	OPEN	map_or_emergent_section	spacetime_or_evolution_domain	yes	yes	physical_dynamics_missing	physical_boundary_missing	future_global_filter_only	no_relaxation_or_static_Hessian_proves_time_live_persistence
H15	physical_boundary_framing	OPEN	carrier_or_emergent_section	complete_finite_cell	yes	may_be_needed	complete_variational_completion_missing	solver_wall_not_physical	current_bootstrap_cannot_supply	it_remains_a_separate_global_join
H16	bootstrap_placement	CURRENT_OUTER_ADMISSIBILITY_ONLY	complete_matter_bearing_solution	whole_solution	through_complete_solution	not_local_selector	complete_action_source_required	complete_boundary_required	B1_current_B2_B3_future	current_bootstrap_can_only_filter_complete_solutions_and_cannot_define_Q_or_create_missing_local_laws
