id	claim	status	authority	evidence
A01	round_internal_S2_carrier	POSIT_REOPENED	native_hopfion_topology_audit_2026-07-19	T05
A02	full_3D_Hopf_capability	VERIFIED_CONDITIONAL	native_hopfion_topology_audit_2026-07-19	T01_T02_T03
A03	conditional_compactified_Hopf_domain	CONDITIONAL	native_hopfion_topology_audit_2026-07-19	T06
A04	physical_carrier_boundary	OPEN	native_hopfion_topology_audit_2026-07-19	T07
A05	physical_affine_transport_selector	OPEN_SELECTOR	udt_reciprocal_transport_naturality_selector_audit_2026-07-23	S18
A06	projected_transport_torsion_and_split_freedom	DERIVED_NONUNIQUE	udt_csn_dphi_transport_selector_audit_2026-07-23	S13_S14
A07	intrinsic_S2_fiber_but_no_section	DERIVED_LOCAL_FIBER_SECTION_OPEN	udt_complete_metric_intrinsic_object_audit_2026-07-23	S13_S17
A08	coframe_Hopf_seed_bridge	EXACT_CONDITIONAL_CHART_LEVEL	udt_coframe_hopf_bridge_audit_2026-07-23	S12_S14
A09	conditional_toric_unit_class	EXACT_CONDITIONAL	angular_toric_closure_selector_2026-07-19	T05_T11
A10	static_stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	native_hopfion_topology_audit_2026-07-19	T10
A11	current_bootstrap	WORKING_AFTER_SOLUTION_GLOBAL_ADMISSIBILITY	bootstrap_csn_phi_angular_selector_2026-07-19	R08_R09
A12	future_bootstrap_Sigma_or_B	OPEN_CONDITIONAL_FORM	bootstrap_csn_phi_angular_selector_2026-07-19	R10_R11_R12
A13	density_as_pointwise_local_operator	NOT_PRESENT	bootstrap_csn_phi_angular_selector_2026-07-19	R28
A14	complete_matter_action	OPEN	matter_bootstrap_dimensional_inventory_2026-07-20	S14
A15	time_live_persistence	OPEN	matter_bootstrap_dimensional_inventory_2026-07-20	S15
