channel_id	symbol	family	definition	status
C01	u0	PHI_ANHOLONOMY	E0(phi)	DERIVED_CHANNEL
C02	u1	PHI_ANHOLONOMY	E1(phi)	DERIVED_CHANNEL
C03	s0	ANGULAR_COMMON	E0(sigma)	DERIVED_CHANNEL
C04	s1	ANGULAR_COMMON	E1(sigma)	DERIVED_CHANNEL
C05	a0	ANGULAR_RECIPROCAL	E0(alpha)	DERIVED_CHANNEL
C06	a1	ANGULAR_RECIPROCAL	E1(alpha)	DERIVED_CHANNEL
C07	h0	ANGULAR_SHEAR	exp(-2 alpha) E0(k)	DERIVED_CHANNEL
C08	h1	ANGULAR_SHEAR	exp(-2 alpha) E1(k)	DERIVED_CHANNEL
C09	f2	CONNECTION_CURVATURE_1	first component of D(dS) on theta0 wedge theta1	DERIVED_CHANNEL
C10	f3	CONNECTION_CURVATURE_2	second component of D(dS) on theta0 wedge theta1	DERIVED_CHANNEL
