premise_id	object	status	use	not_supplied
P01	observer_frame_Reciprocity	FOUNDING_PINNED_BY_THEORY	reciprocal_clock_ruler_coframe	accelerated_or_micro_frame_law
P02	phi_reciprocal_pair_depth	DERIVED	complete_coframe_phi_leg	physical_pair_profile_assignment
P03	observed_c_E	OBSERVED_ANCHOR	x0_equals_c_E_t_calibration	closure_or_density_selection
P04	observed_G	OBSERVED_ANCHOR	future_dimensional_context_only	native_density_curvature_law
P05	block_triangular_complete_coframe	FREE_AND_EXPLORED_CHART	nonlinear_common_domain	physical_extension_selection
P06	torus_invariant_amplitudes	FREE_AND_EXPLORED_BOUNDED_SLICE	exact_base_derivative_atlas	angularly_varying_local_fields
P07	integral_T2_fiber	CONDITIONAL	regular_coframe_and_connection	selected_global_completion
P08	finite_x_interval	FREE_AND_EXPLORED_FINITE_CELL	completion_cross_reference	seal_identity_or_boundary_functional
P09	Lorentz_signature_and_orientation	PINNED_FOR_BRANCH	Cartan_sign_and_form_conventions	global_selection
P10	zero_torsion	METRIC_DERIVED_LEVI_CIVITA_CHOICE	unique_metric_connection	torsionful_alternative_dynamics
P11	metric_compatibility	METRIC_DERIVED_LEVI_CIVITA_CHOICE	unique_metric_connection	nonmetric_connection_dynamics
P12	field_equations	OPEN_NOT_INPUT	prevent_identity_promotion	on_shell_branches
P13	action	OPEN_NOT_INPUT	prevent_familiar_action_import	variation_domain_and_boundary_completion
P14	matter_carrier_and_source	OPEN_NOT_INPUT	authority_boundary	matter_emergence
P15	boundary_functional	OPEN_NOT_INPUT	completion_scope	polarization_charge_and_moving_seal_law
P16	bootstrap_mutual_tuning	OWNER_STATED_WORKING	future_global_local_interpretation	response_map_or_selection_theorem
P17	Lambda_CDM_density_center	IMPORTED_COMPARISON_ANCHOR_DEFERRED	future_bracket_center_only	UDT_density_source_or_selector
P18	future_density_bracket	FREE_AND_EXPLORED_DEFERRED	future_solution_space_sampling	present_algebra_input
P19	GPU_and_time_evolution	OUT_OF_SCOPE	zero_runs	native_evolution_equations
P20	old_dphi_3plus3_transport	DERIVED_SCOPED_INPUT	comparison_and_nonduplication	full_coframe_connection_or_dynamics
