parent_output	contraction	expression
O04	Ricci00	-(2*E0_s0 + 2*E0_u0 + 2*E1_u1 + 4*a0**2 + f2**2 + f3**2 + h0**2 + s0**2 + 2*s1*u1 + 2*u0**2 - 2*u1**2)/2
O04	Ricci01	-(2*E1_s0 + 4*a0*a1 + h0*h1 + s0*s1 - 2*s1*u0)/2
O04	Ricci02	(2*E1_f2 - 2*a1*f2 + 3*f2*s1)/4
O04	Ricci03	(2*E1_f3 + 2*a1*f3 + 2*f2*h1 + 3*f3*s1)/4
O04	Ricci11	(2*E0_u0 - 2*E1_s1 + 2*E1_u1 - 4*a1**2 + f2**2 + f3**2 - h1**2 + 2*s0*u0 - s1**2 + 2*u0**2 - 2*u1**2)/2
O04	Ricci12	(2*E0_f2 - 2*a0*f2 + 3*f2*s0)/4
O04	Ricci13	(2*E0_f3 + 2*a0*f3 + 2*f2*h0 + 3*f3*s0)/4
O04	Ricci22	(-2*E0_a0 + E0_s0 + 2*E1_a1 - E1_s1 - 2*a0*s0 - 2*a0*u0 + 2*a1*s1 - 2*a1*u1 - f2**2 - h0**2 + h1**2 + s0**2 + s0*u0 - s1**2 + s1*u1)/2
O04	Ricci23	(E0_h0 - E1_h1 - 2*a0*h0 + 2*a1*h1 - f2*f3 + h0*s0 + h0*u0 - h1*s1 + h1*u1)/2
O04	Ricci33	(2*E0_a0 + E0_s0 - 2*E1_a1 - E1_s1 + 2*a0*s0 + 2*a0*u0 - 2*a1*s1 + 2*a1*u1 - f3**2 + h0**2 - h1**2 + s0**2 + s0*u0 - s1**2 + s1*u1)/2
O04	scalar_curvature	(4*E0_s0 + 4*E0_u0 - 4*E1_s1 + 4*E1_u1 + 4*a0**2 - 4*a1**2 + f2**2 + f3**2 + h0**2 - h1**2 + 3*s0**2 + 4*s0*u0 - 3*s1**2 + 4*s1*u1 + 4*u0**2 - 4*u1**2)/2
