class_id	class_name	frozen_source	local_cartan_status	global_obstruction	selection_status
FC01	two_physical_boundaries	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_ON_REGULAR_INTERIOR	PHYSICAL_BOUNDARY_JETS_AND_FUNCTIONAL_OPEN	REGISTERED_NOT_SELECTED
FC02	one_cap_one_boundary	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_AWAY_FROM_CAP	ADAPTED_CAP_CHART_AND_PRIMITIVE_CAP_JETS_REQUIRED	REGISTERED_NOT_SELECTED
FC03	two_cap_det0_S2xS1	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_AWAY_FROM_CAPS	TWO_ADAPTED_CAP_CHARTS_AND_GLUE_REQUIRED	REGISTERED_NOT_SELECTED
FC04	two_cap_det1_S3	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_AWAY_FROM_CAPS	TWO_ADAPTED_CAP_CHARTS_AND_UNIMODULAR_GLUE_REQUIRED	REGISTERED_NOT_SELECTED
FC05	two_cap_det_gt1_lens	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_AWAY_FROM_CAPS	CAP_CHARTS_AND_LENS_GLUE_REQUIRED	REGISTERED_NOT_SELECTED
FC06	nonprimitive_orbifold_or_singular	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_ON_REGULAR_COMPLEMENT	NONPRIMITIVE_COLLAPSE_IS_SINGULAR_OR_ORBIFOLD	REGISTERED_NOT_SELECTED
FC07	periodic_torus_bundle_GL2Z	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_IN_LOCAL_TORUS_CHARTS	CHANNELS_MUST_GLUE_UNDER_GL2Z_MONODROMY	REGISTERED_NOT_SELECTED
FC08	mirror_double_or_reflector	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_OFF_REFLECTION_FIXED_SET	COFRAME_LIFT_PARITY_AND_INTERFACE_JETS_REQUIRED	REGISTERED_NOT_SELECTED
FC09	nonorientable_gluing	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_IN_ORIENTED_LOCAL_CHARTS	ORIENTATION_TWIST_AND_DET_MINUS_ONE_GLUE_REQUIRED	REGISTERED_NOT_SELECTED
FC10	stratified_projector_transition	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_ON_EACH_FIXED_RANK_REGULAR_STRATUM	FINE_COFRAME_MAY_FAIL_AT_RANK_TRANSITION	REGISTERED_NOT_SELECTED
FC11	nonintegrable_distribution	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	LOCAL_WITNESS_IF_PLANE_IS_CONNECTION_HORIZONTAL	GENERAL_ANHOLONOMIC_NO_ORBIT_BRANCH_NOT_GLOBALLY_COVERED	REGISTERED_NOT_SELECTED
FC12	reciprocal_toric_diagonal_control	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	EXACT_ON_REGULAR_TORIC_INTERIOR	PROFILE_ENDPOINT_AND_CAP_CLASS_REMAIN_OPEN	REGISTERED_NOT_SELECTED
