catch_id	mutation	result
C01	missing_registered_channel	REJECTED_AS_REQUIRED
C02	duplicate_registered_channel	REJECTED_AS_REQUIRED
C03	missing_registered_output	REJECTED_AS_REQUIRED
C04	missing_completion	REJECTED_AS_REQUIRED
C05	duplicate_completion	REJECTED_AS_REQUIRED
C06	FC11_global_toric_overclaim	REJECTED_AS_REQUIRED
C07	fabricated_direct_phi_f_edge	REJECTED_AS_REQUIRED
C08	response_one_form_promotion	REJECTED_AS_REQUIRED
C09	Bianchi_dynamics_promotion	REJECTED_AS_REQUIRED
C10	Lambda_CDM_promoted_to_UDT	REJECTED_AS_REQUIRED
C11	result_check_failure	REJECTED_AS_REQUIRED
C12	slot_count_called_independence	REJECTED_AS_REQUIRED
