status_id	object	status	scope	open_scope
S01	complete_coframe_structure	DERIVED	regular_toric_interior_with_arbitrary_smooth_x0_x_amplitudes	global_chart_selection
S02	right_Maurer_Cartan_relations	DERIVED_IDENTITY	three_angular_structural_channels	physical_equation_or_selector
S03	Levi_Civita_connection	DERIVED_GIVEN_METRIC	zero_torsion_metric_compatible_geometric_object	whether_complete_UDT_dynamics_uses_only_this_connection
S04	full_Riemann_component_atlas	DERIVED	36_exact_slots_in_registered_coframe	angularly_varying_and_non_toric_domains
S05	nonlinear_six_family_graph	OBSERVED_EXACT_ATLAS	chosen_triangular_coframe_and_torus_invariant_slice	frame_independent_physical_interaction_claim
S06	connected_indirect_phi_to_connection_path	OBSERVED_EXACT_ATLAS	through_angular_common_reciprocal_and_shear_families	matter_or_force_interpretation
S07	no_direct_phi_f2_f3_quadratic_edge	OBSERVED_EXACT_ATLAS	full_Riemann_components_in_registered_slice	outside_slice_or_other_frame
S08	exact_scalar_curvature_contraction	DERIVED	registered_slice	selected_action_or_integrated_functional
S09	Bianchi_identities	DERIVED_IDENTITY	metric_connection_geometry	dynamics_response_or_selector
S10	completion_applicability	OBSERVED_SCOPED_ATLAS	12_registered_classes_without_complete_profiles	global_witnesses_and_selection
S11	global_local_response_one_form	OPEN	not_supplied_by_Cartan_or_Bianchi	complete_off_shell_closure
S12	density_to_geometry_law	OPEN	no_density_input_in_metric_atlas	bootstrap_background_response
S13	Lambda_CDM_centered_density_bracket	WORKING_DEFERRED_PROTOCOL	imported_comparison_center_and_broad_free_bracket	not_authorized_until_native_response_and_branch
S14	action_source_carrier_boundary_mass	OPEN	not_input	complete_UDT_physics
