source_id	path	role	size_bytes	sha256
S01	udt_metric_orchestra_rehearsal_2026-07-25/AUDIT_REPORT.md	common_domain_six_channel_response_atlas_and_open_nonlinear_step	7353	9fea07d993242404c21d2c6b50ae65b9bf9aa29cc92d5440d8767c81941ee1fa
S02	udt_metric_orchestra_rehearsal_2026-07-25/EXACT_DERIVATION.md	exact_complete_coframe_definitions_and_neutral_jet_controls	6059	6b7613e24047a119a516f46791fdd63d8799b2c67a1418cc10ee3ff3ef9c7265
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	founded_phi_and_complete_extension_class	5790	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783
S04	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	missing_off_shell_global_local_response_one_form	8153	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd
S05	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	prior_dphi_3plus3_transport_and_completion_limits	6490	422a96a0b8ce50b1b74c0e7ea78ac9b0f6ec2d5ef8ea59c69c2b3f9941f25df7
S06	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	frozen_twelve_completion_universe	2608	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6
S07	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	global_completion_and_holonomy_scope	14055	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a
S08	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	pre_density_angular_metric_lattice_and_connection_objects	8983	8f3a3947ce8421b53c95285266421f45df354c2bb5a6f96c6c5d6129e89f7d5a
S09	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	global_local_two_arrow_architecture	9425	c677aeb41e74d8d91978d661cd68db428d497a4bdf91c7a5ef78938c2e361fd4
S10	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	intrinsic_dphi_bundle_and_scope	11332	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776
