coupling_kind	family_left	family_right	term_count	component_count	components
DERIVATIVE	ANGULAR_COMMON	ANGULAR_COMMON	8	8	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13
DERIVATIVE	ANGULAR_RECIPROCAL	ANGULAR_RECIPROCAL	8	8	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13
DERIVATIVE	ANGULAR_SHEAR	ANGULAR_SHEAR	8	8	Omega02_03;Omega02_13;Omega03_02;Omega03_12;Omega12_03;Omega12_13;Omega13_02;Omega13_12
DERIVATIVE	CONNECTION_CURVATURE_1	CONNECTION_CURVATURE_1	4	4	Omega01_02;Omega01_12;Omega02_01;Omega12_01
DERIVATIVE	CONNECTION_CURVATURE_2	CONNECTION_CURVATURE_2	4	4	Omega01_03;Omega01_13;Omega03_01;Omega13_01
DERIVATIVE	PHI_ANHOLONOMY	PHI_ANHOLONOMY	2	1	Omega01_01
QUADRATIC	ANGULAR_COMMON	ANGULAR_COMMON	10	9	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13;Omega23_23
QUADRATIC	ANGULAR_COMMON	ANGULAR_RECIPROCAL	12	8	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13
QUADRATIC	ANGULAR_COMMON	ANGULAR_SHEAR	12	8	Omega02_03;Omega02_13;Omega03_02;Omega03_12;Omega12_03;Omega12_13;Omega13_02;Omega13_12
QUADRATIC	ANGULAR_COMMON	CONNECTION_CURVATURE_1	8	8	Omega01_02;Omega01_12;Omega02_01;Omega03_23;Omega12_01;Omega13_23;Omega23_03;Omega23_13
QUADRATIC	ANGULAR_COMMON	CONNECTION_CURVATURE_2	8	8	Omega01_03;Omega01_13;Omega02_23;Omega03_01;Omega12_23;Omega13_01;Omega23_02;Omega23_12
QUADRATIC	ANGULAR_COMMON	PHI_ANHOLONOMY	8	8	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13
QUADRATIC	ANGULAR_RECIPROCAL	ANGULAR_RECIPROCAL	10	9	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13;Omega23_23
QUADRATIC	ANGULAR_RECIPROCAL	ANGULAR_SHEAR	16	10	Omega01_23;Omega02_03;Omega02_13;Omega03_02;Omega03_12;Omega12_03;Omega12_13;Omega13_02;Omega13_12;Omega23_01
QUADRATIC	ANGULAR_RECIPROCAL	CONNECTION_CURVATURE_1	8	8	Omega01_02;Omega01_12;Omega02_01;Omega03_23;Omega12_01;Omega13_23;Omega23_03;Omega23_13
QUADRATIC	ANGULAR_RECIPROCAL	CONNECTION_CURVATURE_2	8	8	Omega01_03;Omega01_13;Omega02_23;Omega03_01;Omega12_23;Omega13_01;Omega23_02;Omega23_12
QUADRATIC	ANGULAR_RECIPROCAL	PHI_ANHOLONOMY	8	8	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13
QUADRATIC	ANGULAR_SHEAR	ANGULAR_SHEAR	10	9	Omega02_02;Omega02_12;Omega03_03;Omega03_13;Omega12_02;Omega12_12;Omega13_03;Omega13_13;Omega23_23
QUADRATIC	ANGULAR_SHEAR	CONNECTION_CURVATURE_1	8	8	Omega01_03;Omega01_13;Omega02_23;Omega03_01;Omega12_23;Omega13_01;Omega23_02;Omega23_12
QUADRATIC	ANGULAR_SHEAR	CONNECTION_CURVATURE_2	8	8	Omega01_02;Omega01_12;Omega02_01;Omega03_23;Omega12_01;Omega13_23;Omega23_03;Omega23_13
QUADRATIC	ANGULAR_SHEAR	PHI_ANHOLONOMY	8	8	Omega02_03;Omega02_13;Omega03_02;Omega03_12;Omega12_03;Omega12_13;Omega13_02;Omega13_12
QUADRATIC	CONNECTION_CURVATURE_1	CONNECTION_CURVATURE_1	3	3	Omega01_01;Omega02_02;Omega12_12
QUADRATIC	CONNECTION_CURVATURE_1	CONNECTION_CURVATURE_2	4	4	Omega02_03;Omega03_02;Omega12_13;Omega13_12
QUADRATIC	CONNECTION_CURVATURE_2	CONNECTION_CURVATURE_2	3	3	Omega01_01;Omega03_03;Omega13_13
QUADRATIC	PHI_ANHOLONOMY	PHI_ANHOLONOMY	2	1	Omega01_01
