source_id	path	role
S01	udt_metric_orchestra_rehearsal_2026-07-25/AUDIT_REPORT.md	common_domain_six_channel_response_atlas_and_open_nonlinear_step
S02	udt_metric_orchestra_rehearsal_2026-07-25/EXACT_DERIVATION.md	exact_complete_coframe_definitions_and_neutral_jet_controls
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	founded_phi_and_complete_extension_class
S04	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	missing_off_shell_global_local_response_one_form
S05	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	prior_dphi_3plus3_transport_and_completion_limits
S06	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	frozen_twelve_completion_universe
S07	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	global_completion_and_holonomy_scope
S08	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	pre_density_angular_metric_lattice_and_connection_objects
S09	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	global_local_two_arrow_architecture
S10	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	intrinsic_dphi_bundle_and_scope
