object	status	maximum_claim
landing	MULTIPLE_INEQUIVALENT_NATURAL_PAIR_ONE_JET_PROJECTIONS_SURVIVE_FROM_THE_DERIVED_COMPLETE_RELATION_STATE__NO_UNIQUE_TRANSFER_TO_G2_IS_OWNED	externally reviewed derived with caveats; complete repair chain closed
directed_null_leg_relation_state	DERIVED_CONDITIONAL	supplied metric clocks and regular route own rate directions transport and higher carry
transported_source_pair_one_jet	DERIVED_CONDITIONAL	natural regular projection J_T
target_local_pair_one_jet	DERIVED_CONDITIONAL	natural regular projection J_L that forgets transported-source/path carry
terminal_depth_on_both	DERIVED_CONDITIONAL	Phi equals minus log r
active_screen_plane_separator	DERIVED_BOUNDED	determinant equals minus r squared times w
unique_direct_C_g_to_G2	NOT_DERIVED	at least two gauge-inequivalent natural projections survive
reflection_smoothing	OPEN	leg family retained without invented smooth surface
multiple_routes	SET_VALUED_CONDITIONAL	all declared regular routes retained equivariantly
higher_pair_germ	OPEN	one-jet result only
observer_event_route_population	OPEN	no physical population selected
history_dynamics_scale_observation_Xmax	OPEN_EXCLUDED	no conclusion
external_acceptance	CLOSED	R2-R4 and exact R1 completion externally verified; repaired bounded landing retained
