item	status	use_in_G298	forbidden_promotion
F1_F4	FOUNDED_OR_DECLARED	reciprocal representation and metric provenance	profile or history law
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair normalization after the transferred full one-jet	canon or history residual
W4	WORKING_FOUNDATIONAL_CLARIFICATION	one metric owns clocks null cones and transport	field equation
W5	WORKING_FOUNDATIONAL_CLARIFICATION	retain the complete transported relation rather than a scalar-only proxy	unique global route or numerical distance
W6	WORKING_FOUNDATIONAL_CLARIFICATION	observable response remains metric-causal	superluminal signal or global now
metric_g	SUPPLIED	proper clocks null legs Levi-Civita transport and pullback	selected physical history
observer_curves_and_events	SUPPLIED_BOUNDED_INPUT	endpoint clocks and base events	physical population
directed_null_routes	SUPPLIED_BOUNDED_INPUT	leg tangent incidence and path transport	preferred or populated branch
endpoint_clock_ratio	DERIVED_CONDITIONAL_FROM_METRIC	r equals endpoint frequency ratio and supplies target comparison-clock coefficient	independent fitted scalar
source_null_ruler	DERIVED_CONDITIONAL_FROM_METRIC	n equals normalized source null tangent minus source unit clock	absolute distance
transported_source_ruler	DERIVED_CONDITIONAL_FROM_METRIC	second full-spacetime pair column at the target	input screen or Jacobi answer
pair_one_jet	CANDIDATE_TO_DERIVE	J_gamma equals target comparison clock plus transported source ruler	unique higher pair surface
reflection	PIECEWISE_BRANCH_STRUCTURE	retain incoming and outgoing leg germs separately	chosen smoothing law
multiple_routes	FREE_AND_EXPLORED_SET_VALUED	retain every regular declared branch	preferred route selection
directional_delay_higher_jets	SUPPLIED_RETAINED_SIDECAR	future higher carry and caustic classification	secret input to the one-jet theorem
observations_sources_matter_action_field_equation_scale_Xmax	OPEN_EXCLUDED	no role	selector or repair
