moved_path	source	line	column	operational_source	source_immutability	role
STEP2_timelive_matter_MAP.md	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	23	33	YES	SOFT_EVIDENCE_PATH_ONLY_SOURCE	COLOCATED_REFERENCE
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1229	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1230	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1231	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1232	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1233	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1234	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1235	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1236	67	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/DEPENDENCY_MAP.tsv	1236	96	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	92	356	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	136	1	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	355	331	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	536	444	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	628	534	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	774	561	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	1005	472	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	1036	330	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	78	648	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	98	688	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	102	717	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	136	630	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	199	654	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	233	214	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	235	553	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	236	666	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	238	695	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	257	723	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	296	506	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	300	619	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	310	648	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
STEP2_timelive_matter_MAP.md	reorganization_r1a/INBOUND_REFERENCES.tsv	326	545	NO	HISTORICAL_SNAPSHOT_SOURCE	REORGANIZATION_AUDIT_RECORD
